Vector;Eigenvalue
1;9.6389898962107
2;2.5975129162341366
3;1.4049256640931604
4;0.8122045292046082
5;0.5313185215894448
6;0.4624002479831739
7;0.3140465523898063
8;0.2705242377736319
9;0.184854337293771
10;0.1829960784600887
