reading_no;reading_type;duration;time;user;sigma_value;units;batch;heat;lot;note_xrf;sample_measurement_id;sample_id;site_id;N;E;coord_ref;parish;patina;munsell_hue;munsell_value;hue;color;material;artefact;type;note_measurement;texture_1;texture_2;luster;sedimentary_structures;foliation;topography;homogeneity;inclusion;%-inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;mode;Bal;12Mg;13Al;14Si;15P;16S;17Cl;19K;20Ca;23V;24Cr;25Mn;26Fe;27Co;28Ni;29Cu;30Zn;33As;34Se;37Rb;38Sr;39Y;40Zr;41Nb;42Mo;46Pd;47Ag;48Cd;50Sn;51Sb;56Ba;72Hf;73Ta;74W;75Re;79Au;80Hg;81Ti;82Pb;83Bi;90Th;92U
619;Mining;132.02;fre feb 14, 2020 - 15:45:40;User;2;%;;;;;1;1;;7097169;695505;Sweref 99 TM;Bjurholm;No;2.5Y; 8/2;Translucent;Translucent;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;;;18;58;5;6;1044;Medium;Mining;;;3.0936 ;87.5920 ;0.4073 ;1.5585 ;3.8399 ;2.0139 ;0.8506 ;;0.0031 ;0.2467 ;0.0074 ;0.0034 ;;;;;;;;;;;;;;;0.0042 ;;0.0560 ;;;;;;;0.3574 ;;;;
620;Mining;130.96;fre feb 14, 2020 - 15:48:36;User;2;%;;;;;2;2;Bjurholm 336;7096348;692959;Sweref 99 TM;Bjurholm;No;N1; ;Dark;Black;Quartzite;Arrow point fragment;Point fragment;;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;;;15;24;5;2;360;Small;Mining;56.5916 ;;0.4603 ;42.1051 ;0.0493 ;0.0462 ;0.3451 ;0.1967 ;0.0217 ;;0.0034 ;;0.0513 ;;;;;;;0.0004 ;0.0001 ;0.0001 ;0.0133 ;;;;;;0.0006 ;;0.0038 ;;;;;;;0.0847 ;;;0.0003 ;
621;Mining;132.99;fre feb 14, 2020 - 15:51:58;User;2;%;;;;;3a;3;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;Yes;7.5Y; 3/1;Light;Gray;Quartzite;Arrow point preform;Preform;Base;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;;Iron oxide;21;53;7;7;1113;Medium;Mining;58.5138 ;;2.2470 ;38.3892 ;0.1319 ;0.0787 ;0.2823 ;0.2380 ;0.0209 ;;0.0013 ;;0.0637 ;;;;;;;0.0006 ;0.0008 ;;0.0013 ;;;;;;;;0.0090 ;;;;;;;0.0215 ;;;;
622;Mining;131.30;fre feb 14, 2020 - 15:54:47;User;2;%;;;;;3b;3;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;Yes;7.5Y; 3/1;Light;Gray;Quartzite;Arrow point preform;Preform;Tip, oxidized;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;;Iron oxide;21;53;7;7;1113;Medium;Mining;65.6160 ;;5.3972 ;26.6567 ;0.2876 ;0.1597 ;0.5635 ;0.6874 ;0.1648 ;;0.0034 ;;0.3474 ;;;;0.0004 ;;;0.0008 ;0.0015 ;;0.0012 ;;;;;;;;0.0083 ;;;;;;;0.1042 ;;;;
623;Mining;132.84;fre feb 14, 2020 - 15:58:06;User;2;%;;;;;4;4;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;Yes;N1; ;Dark;Black;Quartzite;Arrow point fragment;Point fragment;;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;;;15;15;7;2;225;Small;Mining;59.5739 ;;3.5363 ;35.4763 ;0.3736 ;0.0927 ;0.5018 ;0.2467 ;0.0256 ;;0.0026 ;;0.0713 ;;;;;;;0.0005 ;0.0008 ;;0.0042 ;;;;;;0.0008 ;;0.0070 ;;;;;;;0.0282 ;;;0.0002 ;
624;Mining;133.76;fre feb 14, 2020 - 16:01:44;User;2;%;;;;;5;5;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;No;2.5Y; 9/1;Light;Opaque;Breccie quartz;Arrow point fragment;Point fragment;;Massive;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;;;11;16;6;;176;Small;Mining;57.4483 ;0.2251 ;1.2192 ;40.3335 ;0.0465 ;0.0712 ;0.2793 ;0.3007 ;0.0204 ;;0.0072 ;;0.0190 ;;;;;;;;;;0.0021 ;;;;;;0.0005 ;;;;;;;;;0.0270 ;;;;
625;Mining;131.79;fre feb 14, 2020 - 16:04:45;User;2;%;;;;;6;6;Burträsk 32;7149885;761582;Sweref 99 TM;Burträsk;No;N4; ;Light;Gray;Quartzite;Point fragment;Point fragment;;Massive;Fine-grained;Dull;None;None;Conchoidal;No;Quartz;5;;15;16;5;1;240;Small;Mining;0.0182 ;;21.1261 ;66.6711 ;0.2679 ;0.2787 ;2.1264 ;8.5548 ;0.2860 ;0.0031 ;0.0114 ;0.1809 ;0.0120 ;0.0020 ;;;;;;;;;;;;;;;0.0059 ;0.0022 ;0.2166 ;;;;;;;0.2369 ;;;;
626;Mining;131.90;fre feb 14, 2020 - 16:08:24;User;2;%;;;;;7;7;Burträsk 181;7165076;783785;Sweref 99 TM;Burträsk;Yes;5Y; 9/2;Light;Opaque;Quartz;Point preform;Preform;;Massive;Massive;Bright vitreous;None;None;Irregular;Yes;;;;43;48;;;2064;Large;Mining;56.6811 ;;;43.0203 ;;;0.1189 ;0.0440 ;;0.0026 ;;;;;;;;;;;;;;;;;;;;;0.0130 ;;;;;;;0.0035 ;;;;
627;Mining;133.77;fre feb 14, 2020 - 16:11:52;User;2;%;;;;;7;7;Burträsk 181;7165076;783785;Sweref 99 TM;Burträsk;Yes;5Y; 9/2;Light;Opaque;Quartz;Point preform;Preform;;Massive;Massive;Bright vitreous;None;None;Irregular;Yes;;;;43;48;;;2064;Large;Mining;56.5142 ;0.5519 ;;42.7629 ;;;0.1118 ;0.0296 ;;0.0081 ;0.0040 ;;;;;;;;;;;;;;;;;;0.0007 ;;0.0142 ;;;;;;;0.0027 ;;;;
628;Mining;133.60;fre feb 14, 2020 - 16:15:11;User;2;%;;;;;8;8;;7132482;784349;Sweref 99 TM;Bygdeå;No;N2; ;Dark;Gray;Quartzite;Point;Point;;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Conchoidal;Yes;;;Silicon on one side;15;81;;;1215;Medium;Mining;58.8628 ;;0.3651 ;39.6596 ;0.0140 ;0.1131 ;0.2788 ;0.3534 ;0.0479 ;;0.0017 ;;0.0317 ;;;;;;;0.0020 ;0.0005 ;0.0004 ;0.0429 ;;;;;;0.0010 ;;0.0180 ;;;;;;;0.0350 ;;;0.0004 ;
629;Mining;133.29;fre feb 14, 2020 - 16:18:26;User;2;%;;;;;9;9;;7144375;717871;Sweref 99 TM;Degerfors;No;5Y; 9/2;Light;Opaque;Quartz;Point;Point;;Massive;Fine-grained;Waxy;None;None;Conchoidal;Yes;;;;18;42;7;7;756;Medium;Mining;57.9039 ;;;41.7182 ;;;0.2717 ;0.0853 ;0.0029 ;;;;0.0042 ;;;;;;;;;;;;;;;;;;0.0100 ;;;;;;;0.0037 ;;;;
630;Mining;132.32;fre feb 14, 2020 - 16:21:24;User;2;%;;;;;10;10;;7144375;717871;Sweref 99 TM;Degerfors;No;5Y; 8/2;Light;Opaque;Quartzite;Arrow point;Point;;Massive;Medium-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;18;23;6;3;414;Small;Mining;55.9783 ;;0.1131 ;43.1192 ;0.0133 ;0.0210 ;0.5432 ;0.1938 ;0.0072 ;;;;0.0036 ;;;;;;;0.0001 ;;;0.0018 ;;;;;;;;0.0029 ;;;;;;;0.0025 ;;;;
631;Mining;133.19;fre feb 14, 2020 - 16:24:16;User;2;%;;;;;11;11;;7144375;717871;Sweref 99 TM;Degerfors;No;5Y; 8/1;Light;Opaque;Quartzite;Point;Point;;Granular;Medium-grained;Bright vitreous;None;None;Smooth;Yes;;;;12;25;4;2;300;Small;Mining;55.6610 ;0.4403 ;0.3407 ;42.9738 ;0.0364 ;0.0571 ;0.3287 ;0.1273 ;0.0105 ;;0.0059 ;;0.0110 ;;;;;;;;;;;;;0.0003 ;;;0.0005 ;;;;;;;;;0.0064 ;;;;
632;Mining;132.76;mån feb 17, 2020 - 08:39:10;User;2;%;;;;;12;12;;7144375;717871;Sweref 99 TM;Degerfors;No;7.5Y; 8/2;Light;Opaque;Breccie quartz;Point;Point;;Massive;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;23;30;6;7;690;Medium;Mining;53.2754 ;;0.3912 ;45.6996 ;0.0321 ;0.0938 ;0.1912 ;0.0895 ;0.0143 ;;0.0035 ;;0.0116 ;;;;;;;;;;0.0014 ;;;;;;;;0.0066 ;;;;;;;0.0075 ;;;;
633;Mining;131.39;mån feb 17, 2020 - 08:42:37;User;2;%;;;;;13;13;;7144375;717871;Sweref 99 TM;Degerfors;No;10Y; 6/3;White;White;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;Yes;Conchoidal;Yes;;;;22;42;7;7;924;Medium;Mining;0.0194 ;1.7206 ;2.3156 ;90.1683 ;0.4642 ;0.7399 ;2.5733 ;1.3001 ;0.2403 ;;0.0150 ;0.1448 ;0.0172 ;0.0025 ;;;;;;;;;;;;;;;;;0.1365 ;;;;;;;0.1423 ;;;;
634;Mining;131.79;mån feb 17, 2020 - 08:46:13;User;2;%;;;;;14a;14;Degerfors 318;7141879;717255;Sweref 99 TM;Degerfors;Yes;10Y; 9/1;White;White;Quartzite;Point preform;Preform;Sample point on quartz surface;Granular;Coarse-grained;Dull;None;Yes;Conchoidal;No;Quartz;30;Quartz in other matrix;37;53;17;30;1961;Medium;Mining;61.4037 ;;4.8170 ;32.3578 ;0.1268 ;0.1409 ;0.4920 ;0.2571 ;0.2081 ;0.0005 ;0.0025 ;;0.0439 ;;;;;;;;0.0045 ;0.0019 ;0.0130 ;;;;;;0.0007 ;;0.0160 ;;;;;;;0.0647 ;;;0.0003 ;
635;Mining;131.67;mån feb 17, 2020 - 08:49:19;User;2;%;;;;;14b;14;Degerfors 318;7141879;717255;Sweref 99 TM;Degerfors;Yes;10Y; 9/1;White;White;Quartzite;Point preform;Preform;Sample point on white matrix;Granular;Coarse-grained;Dull;None;Yes;Conchoidal;No;Quartz;30;Quartz in other matrix;37;53;17;30;1961;Medium;Mining;58.6958 ;;4.4129 ;35.5779 ;0.0585 ;0.1356 ;0.4977 ;0.3063 ;0.1590 ;;0.0032 ;;0.0548 ;;;;0.0005 ;;;0.0001 ;0.0034 ;0.0019 ;0.0143 ;;;;;;;;0.0124 ;;;;;;;0.0658 ;;;;
636;Mining;130.80;mån feb 17, 2020 - 08:53:20;User;2;%;;;;;15;15;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;5Y; 7/1;Light;Opaque;Quartzite;Point;Point;;Granular;Fine-grained;Bright vitreous;None;None;Irregular;Yes;;;Iron oxide or dirt;21;33;;10,9;680;Medium;Mining;57.2708 ;;0.5451 ;41.6238 ;0.0127 ;;0.1933 ;0.1296 ;0.0299 ;;0.0034 ;;0.0586 ;;;;;;;;;;;;;;;;;;0.0130 ;;;;;;;0.0433 ;;;;
637;Mining;130.80;mån feb 17, 2020 - 08:56:15;User;2;%;;;;;16;16;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;N9; ;White;White;Quartzite;Point;Point;;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;;Iron oxide or dirt;20,8;43,6;;8;774;Medium;Mining;54.1251 ;;0.4007 ;45.0066 ;;0.1095 ;0.1021 ;0.0641 ;0.0196 ;;;;0.0194 ;;;;;;;;;;;;;;;;0.0005 ;;0.0077 ;;;;;;;0.0190 ;;;;
638;Mining;131.84;mån feb 17, 2020 - 08:59:47;User;2;%;;;;;17;17;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Fine-grained;Waxy;None;None;Fine;No;Mineral grains;;Iron oxide or dirt;16,8;35,7;;3,4;560;Small;Mining;53.8805 ;0.3801 ;0.6862 ;44.0952 ;0.0755 ;0.0624 ;0.3164 ;0.1155 ;0.0273 ;;0.0039 ;;0.2594 ;;;;;;;;0.0009 ;;0.0057 ;;;;;;0.0005 ;;0.0023 ;;;;;;;0.0882 ;;;;
639;Mining;131.60;mån feb 17, 2020 - 09:02:48;User;2;%;;;;;17b;17;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;N1; ;Dark;Black;Quartzite;Arrow point;Point;Sample point on side with iron oxide;Granular;Fine-grained;Waxy;None;None;Fine;No;Mineral grains;;Iron oxide or dirt;16,8;35,7;;3,4;560;Small;Mining;59.1900 ;0.4494 ;3.3110 ;35.6658 ;0.0747 ;0.0610 ;0.0907 ;0.2759 ;0.1163 ;0.0007 ;0.0034 ;;0.5846 ;;;;;0.0003 ;;0.0002 ;0.0011 ;0.0001 ;0.0097 ;;;;;;;;0.0023 ;;;;;;;0.1629 ;;;;
640;Mining;132.66;mån feb 17, 2020 - 09:05:49;User;2;%;;;;;18;18;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;No;2.5Y; 9/1;Light;Opaque;Quartzite;Point;Point;;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;;;19,6;41,3;;4,1;779;Medium;Mining;54.6178 ;;0.1817 ;44.7958 ;0.0178 ;0.0262 ;0.1729 ;0.0586 ;0.0108 ;;0.0027 ;;0.0109 ;;;;;;;;;;;;;;;;;;0.0046 ;;;;;;;0.0065 ;;;;
641;Mining;132.19;mån feb 17, 2020 - 09:09:59;User;2;%;;;;;19;19;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Medium-grained;Dull;None;Foliated;Fine;Yes;;;;16,2;55,7;;6,2;784;Medium;Mining;54.1323 ;;0.6631 ;43.9662 ;0.0253 ;0.0301 ;0.1290 ;0.3451 ;0.0139 ;0.0019 ;0.0055 ;;0.0713 ;;;;;0.0001 ;;0.0014 ;0.0014 ;;0.0062 ;;;;;;;;0.4562 ;;;;;;;0.0408 ;;;;
642;Mining;132.54;mån feb 17, 2020 - 09:12:58;User;2;%;;;;;20;20;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;N1; ;Dark;Black;Quartzite;Point;Point;;Granular;Medium-grained;Bright vitreous;None;Foliated;Fine;No;Mineral grains;;Iron oxide;18,8;53,2;;7,3;816;Medium;Mining;62.1020 ;;0.3633 ;36.8142 ;0.0192 ;0.0285 ;0.2916 ;0.1049 ;0.0132 ;0.0008 ;0.0028 ;;0.0490 ;;;;;0.0001 ;;0.0003 ;0.0005 ;0.0009 ;0.0479 ;;;;;;;;0.0251 ;;;;;;;0.1354 ;;;0.0003 ;
643;Mining;133.41;mån feb 17, 2020 - 09:16:48;User;2;%;;;;;21;21;Lycksele 301;7168150;676423;Sweref 99 TM;Lycksele;Yes;N9; ;White;White;Quartzite;Arrow point;Point;;Granular;Fine-grained;Bright vitreous;None;Foliated;Fine;Yes;;;;16,5;39,7;;4,2;680;Medium;Mining;56.9437 ;;0.0917 ;42.7782 ;;0.0225 ;0.0833 ;0.0203 ;0.0033 ;;0.0032 ;;0.0044 ;;;;;;;;;;;;;;;;0.0006 ;;0.0051 ;;;;;;;;;;;
644;Mining;133.00;mån feb 17, 2020 - 09:19:57;User;2;%;;;;;22;22;Lycksele 401;7182333;648209;Sweref 99 TM;Lycksele;No;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;;;22;45;;;990;Medium;Mining;57.0985 ;0.3636 ;0.2019 ;41.7793 ;0.0335 ;0.0594 ;0.2830 ;0.0858 ;0.0170 ;;0.0043 ;;0.0540 ;;;;;;;;0.0008 ;;0.0015 ;;;;;;;;0.0114 ;;;;;;;0.0060 ;;;;
645;Mining;133.02;mån feb 17, 2020 - 09:23:15;User;2;%;;;;;23;23;Lycksele 401;7182333;648209;Sweref 99 TM;Lycksele;No;5Y; 8/3;Light;Opaque;Quartz;Arrow point;Point;;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;;;15;32;;;480;Small;Mining;53.5378 ;;;45.9882 ;;;0.2613 ;0.0558 ;0.0029 ;;;;;;;;;;;;;;;;;;;;0.0005 ;;0.0065 ;;;;;;;0.0055 ;;;;
646;Mining;131.47;mån feb 17, 2020 - 09:26:33;User;2;%;;;;;24;24;;7295916;573443;Sweref 99 TM;Sorsele;No;7.5Y; 7/2;Light;Opaque;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;;;15;59;;;885;Medium;Mining;60.5494 ;;0.3592 ;37.6443 ;0.0487 ;0.2150 ;0.7840 ;0.2518 ;0.0925 ;;0.0027 ;;0.0234 ;;;;0.0005 ;;;;;;;;;;;;0.0010 ;;0.0077 ;;;;;;;0.0197 ;;;;
647;Mining;132.91;mån feb 17, 2020 - 09:29:47;User;2;%;;;;;25;25;Sorsele 282;7245571;623775;Sweref 99 TM;Sorsele;No;N3; ;Dark;Gray;Quartzite;Point preform;Preform;;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;;;38;56;20;33;2128;Large;Mining;52.8740 ;;0.2576 ;46.1180 ;0.0168 ;0.0563 ;0.3304 ;0.1085 ;0.0183 ;;0.0032 ;;0.0166 ;;;0.0005 ;;;;0.0006 ;0.0006 ;;0.0112 ;;;;;;;;0.0203 ;;;;;;;0.0379 ;;;0.0001 ;
648;Mining;133.55;mån feb 17, 2020 - 09:33:18;User;2;%;;;;;26;26;;7295916;573443;Sweref 99 TM;Sorsele;No;7.5Y; 7/2;Light;Opaque;Quartzite;Point fragment;Point fragment;;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;18;50;6;6;900;Medium;Mining;;2.3938 ;1.5359 ;89.6703 ;0.3871 ;0.7827 ;3.4685 ;1.1659 ;0.2150 ;;0.0190 ;0.2156 ;0.0097 ;0.0027 ;;;;;;;;;;;;;;;0.0038 ;;0.0779 ;;;;;;;0.0998 ;;;;
649;Mining;131.10;mån feb 17, 2020 - 09:35:59;User;2;%;;;;;27;27;;7295916;573443;Sweref 99 TM;Sorsele;No;; ;Translucent;Translucent;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;;;23;44;6;7;1012;Medium;Mining;57.6388 ;;0.0444 ;41.8136 ;0.0143 ;0.0601 ;0.3153 ;0.0845 ;0.0145 ;;0.0060 ;;;;;;;;;;;;;;;;;;;;0.0060 ;;;;;;;0.0024 ;;;;
650;Mining;132.97;mån feb 17, 2020 - 09:38:52;User;2;%;;;;;28;28;Sorsele 552;7316830;555778;Sweref 99 TM;Sorsele;Yes;N2; ;Dark;Black;Quartzite;Point;Point;;Granular;Medium-grained;Bright vitreous;None;None;Smooth;No;Bands of quartz;;Iron oxide;15;15;5;2;225;Small;Mining;55.9115 ;0.5659 ;0.6486 ;42.1265 ;0.0354 ;0.0543 ;0.2588 ;0.1973 ;0.0637 ;;0.0021 ;;0.0957 ;;;;;;;0.0004 ;0.0007 ;;0.0036 ;;;;;;;;0.0045 ;;;;;;;0.0312 ;;;;
651;Mining;132.11;mån feb 17, 2020 - 09:41:48;User;2;%;;;;;29;29;Sorsele 733;7300838;576919;Sweref 99 TM;Sorsele;No;2.5Y; 8/1;Light;Opaque;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;;;9;25;5;2;225;Small;Mining;53.0020 ;;0.4378 ;45.7982 ;0.0220 ;0.1186 ;0.3271 ;0.1685 ;0.0161 ;;0.0057 ;;0.0021 ;;;;;;;;;;;;;;;;;;;;;;;;;0.0095 ;;;;
652;Mining;133.11;mån feb 17, 2020 - 09:46:11;User;2;%;;;;;30;30;;7295916;573443;Sweref 99 TM;Sorsele;No;N3; ;Dark;Gray;Quartzite;Preform;Preform;;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of dark mineral;;;38;77;20;75;2926;Large;Mining;54.5179 ;;0.6511 ;44.0974 ;0.0296 ;0.0751 ;0.2592 ;0.2371 ;0.0307 ;;0.0035 ;;0.0219 ;;;;;;;0.0007 ;0.0003 ;;0.0056 ;;;;;;0.0006 ;;0.0219 ;;;;;;;0.0472 ;;;0.0001 ;
653;Mining;132.08;mån feb 17, 2020 - 09:49:25;User;2;%;;;;;31;31;Sorsele 733;7300838;576919;Sweref 99 TM;Sorsele;No;N1; ;Dark;Gray;Quartzite;Point;Point;;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Bands of quartz;;;17;31;6;5;527;Small;Mining;55.8336 ;0.3442 ;0.5243 ;42.6047 ;0.0242 ;0.0310 ;0.2496 ;0.2354 ;0.0285 ;;0.0031 ;;0.0215 ;;;;;;;0.0006 ;;;0.0152 ;;;;;;;;0.0136 ;;;;;;;0.0705 ;;;0.0002 ;
654;Mining;133.31;mån feb 17, 2020 - 09:52:28;User;2;%;;;;;32;32;Sorsele 733;7300838;576919;Sweref 99 TM;Sorsele;No;N1; ;Dark;Black;Quartzite;Point;Point;;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Mineral grains;;;25;55;9;13;1375;Medium;Mining;0.0233 ;;2.6854 ;93.6451 ;0.2225 ;0.2790 ;1.4530 ;1.0401 ;0.1474 ;;0.0168 ;0.1751 ;0.0093 ;0.0041 ;;;;;;;;;;;;;;;;;0.1412 ;;;;;;;0.1577 ;;;;
655;Mining;131.13;mån feb 17, 2020 - 09:55:27;User;2;%;;;;;33;33;Sorsele 334;7267203;584998;Sweref 99 TM;Sorsele;No;5Y; 9/1;Translucent;Translucent;Breccie quartz;Point fragment;Point fragment;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;17;25;;;425;Small;Mining;53.7856 ;;0.1985 ;45.5889 ;;0.0562 ;0.2688 ;0.0718 ;0.0110 ;;0.0061 ;;0.0022 ;;;;;;;;;;0.0027 ;;;;;;0.0004 ;;0.0021 ;;;;;;;0.0058 ;;;;
656;Mining;134.18;mån feb 17, 2020 - 09:58:37;User;2;%;;;;;34;34;Stensele 83;7216217;605963;Sweref 99 TM;Stensele;No;N9; ;Light;Opaque;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;;;23;32;8;6;736;Medium;Mining;53.5761 ;0.4855 ;0.1231 ;45.4096 ;0.0147 ;0.0463 ;0.2452 ;0.0727 ;0.0109 ;;0.0049 ;;;;;;;;;;;;;;;;;;;;0.0082 ;;;;;;;0.0028 ;;;;
657;Mining;131.29;mån feb 17, 2020 - 10:01:44;User;2;%;;;;;35;35;Stensele 481;7223941;592246;Sweref 99 TM;Stensele;No;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;;;19;30;6;5;570;Small;Mining;;1.6138 ;3.0183 ;92.6674 ;0.2225 ;0.2950 ;0.9332 ;0.5244 ;0.1401 ;;0.0161 ;0.1562 ;0.0114 ;0.0027 ;;;;;;;;;;;;;;;;;0.0524 ;;;;;;;0.3872 ;;;;
658;Mining;131.40;mån feb 17, 2020 - 10:04:30;User;2;%;;;;;36;36;Stensele 74;7221583;597773;Sweref 99 TM;Stensele;No;7.5Y; 8/1;Light;Opaque;Quartzite;Arrow point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;;;19;42;7;6;798;Medium;Mining;0.0188 ;2.0681 ;0.4584 ;95.0469 ;;0.2165 ;1.3901 ;0.3597 ;0.1761 ;;0.0098 ;0.1209 ;;0.0044 ;;;;;;;;;;;;;;;;;0.1090 ;;;;;;;0.0212 ;;;;
659;Mining;131.22;mån feb 17, 2020 - 10:07:30;User;2;%;;;;;37;37;Stensele 200;7261567;546025;Sweref 99 TM;Stensele;No;7.5Y; 8/1;Light;Opaque;Breccie quartz;Arrow point fragment;Point fragment;;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;5;;20;33;7;6;660;Medium;Mining;54.1364 ;0.2345 ;0.0544 ;45.3186 ;;0.0133 ;0.1678 ;0.0475 ;0.0064 ;;0.0047 ;;0.0025 ;;;;;;;;;;0.0016 ;;;;;;0.0007 ;;0.0091 ;;;;;;;0.0024 ;;;;
660;Mining;133.40;mån feb 17, 2020 - 10:10:22;User;2;%;;;;;38;38;Stensele 106;7260504;545445;Sweref 99 TM;Stensele;Yes;7.5Y; 7/2;Light;Opaque;Breccie quartz;Arrow point fragment;Point fragment;;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;5;;21;29;5;3;609;Medium;Mining;;1.4986 ;0.8657 ;94.7804 ;0.1530 ;0.5172 ;1.3112 ;0.5336 ;0.0482 ;;0.0239 ;0.2114 ;;0.0034 ;;;;;;;;;;;;;;;;;0.0706 ;;;;;;;0.0182 ;;;;
661;Mining;132.26;mån feb 17, 2020 - 10:13:27;User;2;%;;;;;39;39;;7096297;752920;Sweref 99 TM;Umeå;No;7.5Y; 8/2;Light;Opaque;Breccie quartz;Point;Point;;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;5;Dirt, modern;20;71;7;;1420;Medium;Mining;54.6842 ;0.3018 ;0.1405 ;44.3106 ;0.0144 ;0.0767 ;0.2622 ;0.1114 ;0.0725 ;;;;0.0074 ;;;;0.0052 ;;;;;;0.0008 ;;;;;;;;0.0109 ;;;;;;;0.0013 ;;;;
662;Mining;131.00;mån feb 17, 2020 - 10:16:31;User;2;%;;;;;40;40;Umeå 262;7099908;754073;Sweref 99 TM;Umeå;No;; ;Translucent;Translucent;Quartz;Point;Point;Small object;Massive;Massive;Bright vitreous;None;None;Irregular;No;Dark mineral grains;5;;6;15;;;90;Small;Mining;45.3932 ;;0.9029 ;52.8747 ;0.1301 ;0.0258 ;0.2157 ;0.2418 ;0.0674 ;;;;0.0856 ;;;;;;;;;;;;;0.0005 ;0.0002 ;0.0009 ;0.0006 ;;;;;;;;;0.0311 ;;;;
663;Mining;134.96;mån feb 17, 2020 - 10:19:34;User;2;%;;;;;41;41;Umeå 510;7108970;753228;Sweref 99 TM;Umeå;No;N2; ;Dark;Gray;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;No;Bands of quartz and mineral grains;;;18;46;5;5;828;Medium;Mining;;;2.3341 ;93.5067 ;0.1693 ;0.3576 ;2.4347 ;0.7115 ;0.1910 ;;0.0149 ;0.1729 ;0.0118 ;0.0025 ;;;;;;;;;;;;;;;;;0.0381 ;;;;;;;0.0667 ;;;;
664;Mining;132.88;mån feb 17, 2020 - 10:22:38;User;2;%;;;;;42;42;;7096297;752920;Sweref 99 TM;Umeå;Yes;N3; ;Light;Gray;Quartzite;Arrow point;Point;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;;Iron oxide;13;51;;;663;Medium;Mining;;1.4552 ;28.3179 ;64.8073 ;1.3288 ;0.3479 ;1.7334 ;0.9223 ;0.6571 ;;0.0136 ;0.1427 ;0.0065 ;0.0020 ;;;;;;;;;;;;;;;;;0.0482 ;;;;;;;0.2510 ;;;;
