reading_no;reading_type;duration;time;user;sigma_value;units;batch;heat;lot;note_xrf;sample_measurement_id;sample_id;site_id;N;E;coord_ref;parish;patina;munsell_hue;munsell_value;hue;color;material;artefact;type;note_measurement;texture_1;texture_2;luster;sedimentary_structures;foliation;topography;homogeneity;inclusion;%-inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;mode;Bal;12Mg;13Al;14Si;15P;16S;17Cl;19K;20Ca;23V;24Cr;25Mn;26Fe;27Co;28Ni;29Cu;30Zn;33As;34Se;37Rb;38Sr;39Y;40Zr;41Nb;42Mo;46Pd;47Ag;48Cd;50Sn;51Sb;56Ba;72Hf;73Ta;74W;75Re;79Au;80Hg;81Ti;82Pb;83Bi;90Th;92U
824;Mining;132.25;ons feb 26, 2020 - 09:58:59;User;2;%;;;;;224;224;Vilhelmina 931;7195741;581917;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;30;70;9;21;2100;Large;Mining;54.0281 ;;0.6711 ;44.4429 ;0.0315 ;0.0456 ;0.2250 ;0.1013 ;0.0232 ;;0.0034 ;;0.2198 ;;;;;;;;0.0014 ;;0.0045 ;;;;;;0.0005 ;;0.0120 ;;;;;;;0.0595 ;;;;
825;Mining;131.81;ons feb 26, 2020 - 10:02:49;User;2;%;;;;;226;226;Vilhelmina 931;7195741;581917;Sweref 99 TM;Vilhelmina;No;N1; ;Dark;Black;Quartzite;Point;Point;Står sample 228 i XRF sample field;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;16;52;6;7;832;Medium;Mining;53.2712 ;0.4368 ;0.9253 ;44.0417 ;0.0410 ;0.0530 ;0.1854 ;0.6066 ;0.0141 ;0.0015 ;0.0051 ;;0.0693 ;;;;;;;0.0026 ;0.0012 ;0.0003 ;0.0371 ;;;;;;;;0.2495 ;;;;;;;0.0579 ;0.0004 ;;0.0002 ;
826;Mining;132.27;ons feb 26, 2020 - 10:09:01;User;2;%;;;;;228;228;Vilhelmina 931;7195741;581917;Sweref 99 TM;Vilhelmina;Yes;7.5Y; 3/1;Dark;Gray;Quartzite;Point;Point;Står sample 226 i XRF sample field;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Dark mineral inclusion;5;;17;42;7;6;714;Medium;Mining;0.0089 ;1.3490 ;4.8664 ;88.5854 ;0.2191 ;0.2948 ;0.9369 ;1.9171 ;0.6007 ;0.0038 ;0.0214 ;0.2219 ;0.0071 ;0.0017 ;;;;;;;;;;;;;;;;;0.2106 ;;;;;;;0.7553 ;;;;
827;Mining;131.00;ons feb 26, 2020 - 10:13:56;User;2;%;;;;;225;225;;7201665;548201;Sweref 99 TM;Vilhelmina;No;N1; ;Dark;Black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;;;30;120;11;54;3600;Large;Mining;59.7500 ;0.3753 ;0.5168 ;38.0439 ;0.0451 ;0.2358 ;0.3418 ;0.2248 ;0.2589 ;;0.0040 ;;0.1067 ;;;0.0028 ;0.0047 ;0.0001 ;;0.0004 ;0.0001 ;;0.0106 ;;;;;;;;0.0170 ;;;;;;;0.0610 ;;;0.0002 ;
828;Mining;132.26;ons feb 26, 2020 - 10:17:46;User;2;%;;;;;229;229;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;;;25;48;8;10;1200;Medium;Mining;54.4871 ;;0.3833 ;44.5976 ;0.0133 ;0.0567 ;0.1312 ;0.0685 ;0.0220 ;;0.0023 ;;0.0368 ;;;;;;;0.0001 ;0.0009 ;;0.0018 ;;;;;;;;0.0112 ;;;;;;;0.0160 ;;;;
829;Mining;132.53;ons feb 26, 2020 - 10:21:11;User;2;%;;;;;237;237;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Arrow point preform;Preform;;Granular;Fine-grained;Bright vitreous;None;None;Weathered;No;;;;19;39;6;5;741;Medium;Mining;54.1855 ;0.3637 ;1.1456 ;43.8793 ;0.0450 ;0.0349 ;0.0528 ;0.1483 ;0.0262 ;0.0005 ;0.0035 ;;0.0963 ;;;;;;;0.0006 ;0.0034 ;;0.0009 ;;;;;;;;0.0020 ;;;;;;;0.0114 ;;;0.0001 ;
830;Mining;130.62;ons feb 26, 2020 - 10:25:55;User;2;%;;;;;236;236;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;No;2.5Y; 7/1;White;White;Quartzite;Arrow point;Point;;Granular;Fine-grained;Dull;None;None;Fine;No;;;;8;28;4;2;224;Small;Mining;53.0499 ;0.4915 ;2.1551 ;42.7267 ;0.1010 ;0.1100 ;0.1197 ;1.0474 ;0.0210 ;0.0011 ;0.0037 ;;0.0920 ;;;;;;;0.0028 ;0.0024 ;0.0001 ;0.0100 ;;;0.0002 ;0.0002 ;0.0004 ;0.0004 ;;0.0114 ;;;;;;;0.0525 ;;;0.0003 ;
831;Mining;131.10;ons feb 26, 2020 - 10:29:22;User;2;%;;;;;238;238;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;No;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;;;15;43;5;4;645;Medium;Mining;54.8366 ;0.3423 ;0.5799 ;43.6667 ;0.0246 ;0.0552 ;0.1440 ;0.1110 ;0.0145 ;;0.0042 ;;0.0831 ;;;;;;;;0.0005 ;0.0009 ;0.0567 ;;;;;;;;0.0047 ;;;;;;;0.0748 ;;;0.0004 ;
832;Mining;132.17;ons feb 26, 2020 - 10:32:53;User;2;%;;;;;239;239;Vilhelmina 952;7198162;578491;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;48;109;22;111;5232;Large;Mining;65.2303 ;;0.6014 ;33.6889 ;0.0363 ;0.0388 ;0.0255 ;0.1327 ;0.0180 ;;0.0031 ;;0.1018 ;;;;;;;0.0010 ;0.0001 ;0.0001 ;0.0188 ;;;;;;0.0006 ;;0.0275 ;;;;;;;0.0749 ;;;0.0002 ;
833;Mining;133.10;ons feb 26, 2020 - 10:36:45;User;2;%;;;;;227;227;Vilhelmina 539;7171348;570601;Sweref 99 TM;Vilhelmina;No;7.5Y; 3/1;Light;Gray;Quartzite;Arrow point;Point;;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Dark mineral inclusion;15;;18;34;6;4;612;Medium;Mining;57.8721 ;;0.5578 ;41.0706 ;;0.0502 ;0.0269 ;0.1526 ;0.0227 ;;0.0021 ;;0.0800 ;;;;;;;0.0010 ;0.0001 ;;0.0070 ;;;;;;0.0005 ;;0.0130 ;;;;;;;0.0407 ;;;;
837;Mining;134.60;ons feb 26, 2020 - 10:51:38;User;2;%;;;;;230;230;Vilhelmina 949;7201665;548201;Sweref 99 TM;Vilhelmina;No;5Y; 9/1;Light;Opaque;Breccie quartz;Arrow point;Point;;Massive;Fine-grained;Waxy;None;Possible foliation;Fine;No;Dark mineral grains;;;18;68;6;10;1224;Medium;Mining;56.1158 ;;0.3059 ;43.2562 ;0.0127 ;0.0497 ;0.0630 ;0.0971 ;0.0054 ;;0.0010 ;;0.0125 ;;;;;;;0.0002 ;;;0.0023 ;;;;;;;;0.0076 ;;;;;;;0.0051 ;;;;
838;Mining;132.35;ons feb 26, 2020 - 10:55:27;User;2;%;;;;;232;232;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;Yes;N3; ;Dark;Gray streaked with white;Quartzite;Arrow point;Point;;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;;;Possibly weathered;14;24;3;2;336;Small;Mining;53.5175 ;;1.3943 ;44.3645 ;0.0160 ;0.0610 ;0.0423 ;0.2912 ;0.0567 ;0.0011 ;0.0028 ;;0.1621 ;;;;;;;0.0010 ;0.0036 ;;0.0055 ;;;0.0004 ;0.0003 ;0.0008 ;0.0006 ;0.0004 ;;;;;;;;0.0343 ;;;0.0001 ;
839;Mining;132.64;ons feb 26, 2020 - 10:58:45;User;2;%;;;;;231;231;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;No;N3; ;Dark;Gray;Quartzite;Arrow point;Point;;Granular;Fine-grained;Waxy;None;None;Fine;No;Mineral inclusion;;;16;30;5;5;480;Small;Mining;;;2.5995 ;94.5699 ;0.3095 ;0.3092 ;1.1937 ;0.5060 ;0.0970 ;;0.0189 ;0.2042 ;0.0127 ;0.0021 ;;;;;;;;;;;;;;;;;0.0575 ;;;;;;;0.1487 ;;;;
840;Mining;132.65;ons feb 26, 2020 - 11:02:44;User;2;%;;;;;233;233;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;Yes;10B; 6/1;Light;Light gray;Quartzite;Arrow point;Point;;Massive;Fine-grained;Dull;None;Possible foliation;Fine;No;;;;16;33;3;2;528;Small;Mining;0.0187 ;1.0715 ;5.3974 ;91.3550 ;0.3678 ;0.3103 ;0.4424 ;0.6369 ;0.1141 ;;0.0200 ;0.1616 ;0.0098 ;0.0037 ;;;;;;;;;;;;0.0022 ;;0.0042 ;0.0024 ;0.0021 ;;;;;;;;0.0789 ;;;;
841;Mining;133.20;ons feb 26, 2020 - 11:06:16;User;2;%;;;;;234;234;Vilhelmina 1254;7173533;570768;Sweref 99 TM;Vilhelmina;No;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Medium-grained;Waxy;None;None;Fine;Yes;;;;23;37;7;7;851;Medium;Mining;0.0181 ;;0.9878 ;96.4550 ;0.0997 ;0.1563 ;1.1100 ;0.3755 ;0.1012 ;;0.0214 ;0.1839 ;0.0153 ;0.0023 ;;;;;;;;;;;;;;;;;0.1180 ;;;;;;;0.3555 ;;;;
842;Mining;131.63;ons feb 26, 2020 - 11:09:10;User;2;%;;;;;235;235;Vilhelmina 240;7174962;566693;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Point;Point;;Granular;Medium-grained;Waxy;None;None;Fine;Yes;;;;34;97;8;40;3298;Large;Mining;54.5368 ;0.2752 ;0.6040 ;43.7149 ;0.0527 ;0.1447 ;0.2936 ;0.1634 ;0.0373 ;;0.0031 ;;0.1161 ;;;;;;;0.0001 ;0.0011 ;;0.0103 ;;;;;;;;0.0115 ;;;;;;;0.0351 ;;;;
843;Mining;132.54;ons feb 26, 2020 - 11:12:35;User;2;%;;;;;217;217;;7201665;548201;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Retouched flake;Flake;;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;;Iron oxide;24;26;6;4;624;Medium;Mining;54.9079 ;;1.4939 ;43.0860 ;0.0377 ;0.0542 ;0.1171 ;0.1736 ;0.0239 ;;0.0020 ;;0.0405 ;;;;;;;0.0003 ;0.0050 ;;0.0018 ;;;;;;;;0.0039 ;;;;;;;0.0212 ;;;;
844;Mining;133.54;ons feb 26, 2020 - 11:15:47;User;2;%;;;;;218;218;Vilhelmina 948;7197896;578653;Sweref 99 TM;Vilhelmina;Yes;7.5Y; 6/1;Light;Gray;Quartzite;Point;Point;;Granular;Medium-grained;Dull;None;None;Fine;Yes;;;Iron oxide;17;51;6;5;867;Medium;Mining;0.0209 ;;10.1858 ;83.1676 ;0.1732 ;0.1261 ;0.6630 ;4.9282 ;0.1603 ;;0.0240 ;0.1585 ;0.0120 ;0.0034 ;;;;;;;;;;;;;;;0.0039 ;;0.2290 ;;;;;;;0.1440 ;;;;
845;Mining;131.76;ons feb 26, 2020 - 11:18:57;User;2;%;;;;;219;219;;7201665;548201;Sweref 99 TM;Vilhelmina;Yes;N3; ;Dark;Gray;Quartzite;Arrow point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;;Iron oxide;33;44;9;13;1452;Medium;Mining;59.3180 ;;1.9977 ;38.0973 ;0.0238 ;0.0545 ;0.0144 ;0.3712 ;0.0254 ;;0.0011 ;;0.0263 ;;;;;;;0.0008 ;0.0017 ;;0.0012 ;;;;;;0.0005 ;;0.0190 ;;;;;;;0.0199 ;;;;
846;Mining;134.70;ons feb 26, 2020 - 11:22:37;User;2;%;;;;;220;220;;7201665;548201;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;;Iron oxide;47;79;20;72;3713;Large;Mining;53.8342 ;;0.6717 ;44.9531 ;0.0241 ;0.0517 ;0.0343 ;0.0793 ;0.0291 ;;0.0040 ;;0.2297 ;;;;0.0003 ;;;0.0001 ;0.0003 ;0.0001 ;0.0145 ;;;;;;0.0006 ;;0.0155 ;;;;;;;0.0574 ;;;0.0002 ;
847;Mining;131.34;ons feb 26, 2020 - 11:25:25;User;2;%;;;;;221;221;Vilhelmina 636;7201659;541153;Sweref 99 TM;Vilhelmina;Yes;7.5Y; 4/1;Dark;Gray streaked with black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;30;;31;51;10;19;1581;Medium;Mining;53.5210 ;0.4950 ;1.1157 ;44.4109 ;0.0144 ;0.0237 ;0.0446 ;0.0942 ;0.0186 ;;0.0033 ;;0.1777 ;;;;;;;;0.0010 ;0.0001 ;0.0135 ;;;;;;;;0.0137 ;;;;;;;0.0524 ;;;0.0002 ;
848;Mining;132.87;ons feb 26, 2020 - 11:29:17;User;2;%;;;;;222;222;;7201665;548201;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Slate;Spear point preform;Preform;;Massive;Fine-grained;Dull;None;Foliated;Smooth;Yes;;;;41;71;9;29;2911;Large;Mining;46.5494 ;0.5031 ;11.0343 ;29.0080 ;0.0197 ;0.0391 ;0.0067 ;7.1938 ;0.0510 ;0.0088 ;0.0125 ;0.0211 ;4.8288 ;;0.0048 ;;0.0088 ;;;0.0363 ;0.0014 ;0.0024 ;0.0405 ;0.0026 ;;;;;0.0027 ;;0.1692 ;;;;;;;0.4517 ;0.0006 ;;0.0026 ;0.0003 
875;Mining;131.24;ons feb 26, 2020 - 15:50:34;User;2;%;;;;;205;205;Vilhelmina 931;7195741;581917;Sweref 99 TM;Vilhelmina;No;7.5Y; 8/1;Light;Opaque;Quartzite;Point preform;Preform;;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;;;16;58;5;7;928;Medium;Mining;0.0238 ;;1.3667 ;96.4678 ;0.1606 ;0.1713 ;0.7596 ;0.4866 ;0.0795 ;;0.0132 ;0.1862 ;0.0097 ;0.0029 ;;;;;;;;;;;;;;;0.0034 ;;0.1368 ;;;;;;;0.1317 ;;;;
876;Mining;133.52;ons feb 26, 2020 - 15:54:19;User;2;%;;;;;206;206;Vilhelmina 854;7217560;557478;Sweref 99 TM;Vilhelmina;Yes;2.5Y; 9/1;Light;Light gray;Quartzite;Point;Point;;Granular;Medium-grained;Dull;None;None;Fine;No;Bands of quartz;15;White discoloration;17;41;5;6;697;Medium;Mining;0.0190 ;;7.1737 ;87.1134 ;0.1308 ;0.1699 ;0.6741 ;4.0717 ;0.1438 ;;0.0218 ;0.1332 ;0.0162 ;0.0031 ;;;;;;;;;;;;;;;;;0.1949 ;;;;;;;0.1343 ;;;;
877;Mining;131.76;ons feb 26, 2020 - 16:00:17;User;2;%;;;;;216;216;;7201665;548201;Sweref 99 TM;Vilhelmina;Yes;N1; ;Dark;Black;Quartzite;Preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;46;83;17;72;3818;Large;Mining;55.1823 ;;1.2667 ;42.9629 ;0.0128 ;0.0371 ;;0.2664 ;0.0426 ;;0.0021 ;;0.1281 ;;;;;;;0.0007 ;0.0006 ;;0.0134 ;;;;;;0.0007 ;;0.0157 ;;;;;;;0.0662 ;;;;
878;Mining;132.86;ons feb 26, 2020 - 16:04:22;User;2;%;;;;;213;213;;7201665;548201;Sweref 99 TM;Vilhelmina;No;N3; ;Dark;Gray;Quartzite;Preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;20;;53;91;20;93;4823;Large;Mining;56.7193 ;;0.6995 ;42.0202 ;0.0117 ;0.0629 ;0.0463 ;0.1484 ;0.0406 ;0.0006 ;0.0017 ;;0.0675 ;;;;;;;0.0005 ;0.0006 ;;0.0107 ;;;;;;0.0006 ;;0.0153 ;;;;;;;0.0736 ;;;0.0002 ;
879;Mining;132.87;ons feb 26, 2020 - 16:08:39;User;2;%;;;;;212;212;Vilhelmina 636;7201659;541153;Sweref 99 TM;Vilhelmina;No;5Y; 6/1;Light;Gray streaked with black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;10;;50;86;30;112;4300;Large;Mining;55.4212 ;;0.6806 ;43.4757 ;0.0116 ;0.0282 ;;0.0937 ;0.0127 ;0.0012 ;0.0032 ;;0.0637 ;;;;;;;0.0004 ;;0.0001 ;0.0196 ;;;;;;;;0.0130 ;;;;;;;0.0985 ;;;0.0003 ;
