sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;point_type;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g
475;Lycksele 301;7168150;676423;Lycksele;White;White;N9; ;Quartz;triangular, straight base;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;16;28;;
476;Lycksele 301;7168150;676423;Lycksele;Dark gray;Dark;N2; ;Quartzite;;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;14;35;;
477;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N3; ;Quartzite;straight base;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;17,5;39,9;;5,6
478;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N3; ;Quartzite;;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;18;18;;
479;Lycksele 301;7168150;676423;Lycksele;Light gray;Light;7.5Y; 7/1;Quartzite;;Point;Point;Excavation;Yes;Granular;Fine-grained;Dull;None;None;Fine;Yes;;17;21,8;;2,3
480;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;straight base;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;20;24;;
481;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;lanceolate, straight base;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;16,7;50,3;;5,3
482;Lycksele 301;7168150;676423;Lycksele;Black streaked with white;Dark;N1; ;Quartzite;;Point;Point;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Possible foliation;Fine;No;;19,6;38,3;;3,9
483;Lycksele 301;7168150;676423;Lycksele;Translucent;Colourless;; ;Brecciated quartz;;Flake;Flake;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;10;10;;
491;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Foliated;Conchoidal;Yes;;67;99;23;158
492;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Foliated;Conchoidal;Yes;;49;102;20;86
493;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;Yes;Massive;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;74;122;27;192
494;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;85;109;38;256
495;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;Yes;Massive;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;59;68;24;84
496;Raä 252:1;7180835;787001;Bureå;Opaque streaked with black;Light;5Y; 7/1;Quartz;straight base;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;Foliated;Fine;No;Dark mineral inclusion;14;21;8;
497;Raä 252:1;7180835;787001;Bureå;Black;Dark;N1; ;Quartzite;;Point;Point;Excavation;No;Granular;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;26;53;11;
498;Raä 252:1;7180835;787001;Bureå;Opaque;Light;2.5Y; 9/1;Quartz;triangular, straight base;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;Possible bedding;Possible foliation;Fine;Yes;;16;31;6;
499;Raä 252:1;7180835;787001;Bureå;Black;Dark;N1; ;Quartzite;;Point;Point;Excavation;No;Massive;Medium-grained;Dull;None;None;Conchoidal;No;Dark mineral inclusion;29;60;12;
500;Raä 252:1;7180835;787001;Bureå;Dark gray streaked with black;Dark;N1; ;Quartz;triangular, straight base;Point;Point;Excavation;No;Massive;Fine-grained;Dull;None;None;Fine;No;Either quartz bands in dark quartzite or dark inclusion in quartz;19;39;5;
501;Norsjö 99:2;7220374;705471;Norsjö;Opaque;White;N9; ;Felsitic porphyric quartz;lanceolate, straight base;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;18;48;11;
502;Norsjö 99:2;7220374;705471;Norsjö;Gray;Dark;N3; ;Felsitic porphyric quartz;straight base;Point preform;Preform;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;No;White streaks;16;55;7;
503;Norsjö 99:2;7220374;705471;Norsjö;Gray;Dark;N3; ;Felsitic porphyric quartz;;Point preform;Preform;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;17;34;5;
504;Norsjö 99:2;7220374;705471;Norsjö;Light gray;Light;7.5Y; 6/1;Felsitic porphyric quartz;;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;37;73;10;
505;Norsjö 99:2;7220374;705471;Norsjö;White;White;N9; ;Quartz;;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;25;6;
506;Jörn 79:1;7252940;731314;Jörn;Black;Dark;N1;;Porphyric rock;;Keeled scraper;Scraper;Excavation;No;Granular;Fine-grained;Dull;None;None;Conchoidal;Yes;;26;50;26;
507;Norsjö 99:2;7220374;705471;Norsjö;Light gray;Dark;N7;;Felsitic porphyric quartz;;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;quartz grains;41;77;11;
508;Södra Mensträsk;;;;Black;Dark;N1;;Felsitic porphyric quartz;;Raw material;Raw material;;No;Granular;Fine-grained;Dull;None;None;Conchoidal;Yes;Larger dark mineral inclusions;105;115;76;946
Calahan ref 1;;;;;Light gray;Light;7.5Y;;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;43;43;;
Calahan ref 2;;;;;Light gray;Light;7.5Y;;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;27;30;;
Calahan ref 3;;;;;Light gray;Light;7.5Y;;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;77;136;;
Calahan ref 4;;;;;Black;Dark;N1;;Quartzite;;;Reference;;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;61;58;;
Calahan ref 5;;;;;Black;Dark;N1;;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;50;62;;
Calahan ref 6;;;;;Black;Dark;N1;;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;44;72;;
Faagelberget_1;L1939:6460/L1936:1445;7185576;790441;Byske;Pink;Light;2.5YR; 7/3;Feldspar;;;Reference;;Yes;Massive;Massive;Bright vitreous;None;None;Smooth;Yes;;34;43;;
Faagelberget_2;L1939:6460/L1936:1445;7185576;790441;Byske;White;Light;N8; ;Quartz;;;Reference;;Yes;Massive;Massive;Dull;None;None;Smooth;No;Feldspar inclusion;28;59;;
Faagelberget_3;L1939:6460/L1936:1445;7185576;790441;Byske;Pinkish white;Light;2.5YR; 9/2;Quartz;;;Reference;;Yes;Granular;Massive;Waxy;None;None;Smooth;No;Likely feldspar inclusion;39;60;;
Faagelberget_4;L1939:6460/L1936:1445;7185576;790441;Byske;White;White;N9; ;Quartz;;;Reference;;Yes;Granular;Massive;Waxy;None;None;Smooth;Yes;;30;48;;
Faagelberget_5;L1939:6460/L1936:1445;7185576;790441;Byske;Pinkish white;White;N9; ;Quartz;;;Reference;;Yes;Granular;Massive;Waxy;None;None;Smooth;No;Likely feldspar inclusion;29;42;;
Knutsson ref 1;;;;;White;White;N9; ;Quartz;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;55;63;;
Knutsson ref 2;;;;;White;White;N9; ;Quartz;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;38;64;;
Knutsson ref 3;;;;;White;White;N9; ;Quartz;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;22;58;;
minerallåda A;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda B;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda C;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda D;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda E;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda F;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda G;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda H;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda I;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda J;;;;;;;;;;;;;;;;;;;;;;;;;;
Obsidian ref, klarare;;;;;;;;;;;;;;;;;;;;;;;;;;
Obsidian ref, mattare;;;;;;;;;;;;;;;;;;;;;;;;;;
Stantors_1;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;;Reference;;Yes;Massive;Medium-grained;Bright vitreous;None;None;Fine;Yes;;34;30;;
Stantors_2;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;;Reference;;Yes;Massive;Medium-grained;Dull;None;None;Fine;Yes;;27;35;;
