sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;point_type;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g
34;Stensele 83;7216217;605963;Stensele;Opaque;White;N9; ;Quartzite;;Point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;23;32;8;6
35;Stensele 481;7223941;592246;Stensele;Black;Dark;N1; ;Quartzite;;Arrow point;Point;Surveyed;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;19;30;6;5
36;Stensele 74;7221583;597773;Stensele;Opaque;Light;7.5Y; 8/1;Quartzite;lanceolate;Arrow point;Point;Surveyed;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;19;42;7;6
37;Stensele 200;7261567;546025;Stensele;Opaque;Light;7.5Y; 8/1;Brecciated quartz;lanceolate, straight base;Arrow point fragment;Point fragment;Stray find;No;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;20;33;7;6
38;Stensele 106;7260504;545445;Stensele;Opaque;Light;7.5Y; 7/2;Brecciated quartz;straight base;Arrow point fragment;Point fragment;Stray find;Yes;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;21;29;5;3
39;;7096297;752920;Umeå;Opaque;Light;7.5Y; 8/2;Brecciated quartz;lanceolate, straight base;Point;Point;Stray find;No;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;20;71;7;
40;Umeå 262;7099908;754073;Umeå;Translucent;Colourless;; ;Quartz;;Point;Point;Survey;No;Massive;Massive;Bright vitreous;None;None;Irregular;No;Dark mineral grains;6;15;;
41;Umeå 510;7108970;753228;Umeå;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point;Point;Excavation/Survey;No;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;No;Bands of quartz and mineral grains;18;46;5;5
42;;7096297;752920;Umeå;Gray;Dark;N3; ;Quartzite;lanceolate, concave base;Arrow point;Point;Unknown;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;13;51;;
43;;7096297;752920;Umeå;Opaque;Light;7.5Y; 7/3;Brecciated quartz;lanceolate, straight base;Arrow point;Point;Unknown;Yes;Massive;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;17;56;;
44;Stensele 75;7221248;598195;Stensele;White;White;N9; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Fine-grained;Bright vitreous;None;None;Irregular;Yes;;31;68;18;40
45;Stensele 271;7216749;599351;Stensele;Opaque;Light;7.5Y; 9/1;Quartzite;;Point preform;Preform;Surveyed;Yes;Granular;Fine-grained;Waxy;None;None;Irregular;No;Dark mineral grains;22;43;9;10
46;;7096297;752920;Umeå;Opaque;Light;5Y; 8/1;Brecciated quartz;lanceolate, convex base;Point;Point;Stray find;No;Granular;Fine-grained;Waxy;Possible bedding;None;Fine;No;Dark mineral inclusion;63;184;10;
47;Mickelträsk;7123905;751063;Umeå;Opaque;Light;5Y; 7/2;Brecciated quartz;lanceolate, straight base;Point preform;Preform;Stray find;Yes;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;61;114;;
48;UmeÅ 600;7090224;753231;Umeå;Opaque;Light;5Y; 7/1;Brecciated quartz;;Knife preform;Knife;Unknown;No;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral inclusion;50;123;;
49;;7096297;752920;Umeå;Opaque;Dark;5Y; 5/4;Brecciated quartz;lanceolate, straight base;Arrow point;Point;Unknown;No;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;14;41;;
50;;7096297;752920;Umeå;White;White;N9; ;Quartzite;straight base;Point;Point;Unknown;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;22;;
51;;7096297;752920;Umeå;Opaque;Dark;7.5Y; 5/4;Brecciated quartz;lanceolate, straight base;Point;Point;Unknown;No;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;15;35;;
52;;7099679;730889;Vännäs;Gray;Dark;N3; ;Quartzite;lanceolate, concave base;Point;Point;Stray find;No;Granular;Fine-grained;Bright vitreous;Possible bedding;None;Conchoidal;No;Bands of dark mineral;17;45;7;4
53;;7099679;730889;Vännäs;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Unknown;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;32;94;11;37
54;Åsele 115;7118200;614649;Åsele;Gray;Dark;N2; ;Quartzite;lanceolate;Point;Point;Stray find;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;20;44;7;8
55;Åsele 115;7118200;614649;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Massive;Fine-grained;Waxy;None;None;Smooth;No;Bands of quartz;23;48;9;11
56;Åsele 115;7118200;614649;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;18;24;7;2
57;Åsele 115;7118200;614649;Åsele;Translucent;Colourless;; ;Quartzite;straight base;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;18;21;6;4
58;Åsele 115;7118200;614649;Åsele;Dark yellow;Dark;7.5Y; 3/4;Quartzite;straight base;Point;Point;Stray find;Yes;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;17;12;4;2
59;UmeÅ 600;7090224;753231;Umeå;Opaque;Light;5Y; 6/4;Brecciated quartz;;Dagger;Knife;Unknown;No;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;40;157;;
60;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N3; ;Quartzite;;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Mineral grains;27;52;9;19
61;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N3; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;30;85;12;25
62;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;26;100;9;26
63;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;29;104;11;36
64;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Mineral grains;27;109;10;30
65;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;30;101;10;30
66;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;29;90;10;24
67;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;29;96;9;27
68;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;29;92;9;23
69;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;triangular, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;32;72;12;26
70;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N3; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;27;93;10;26
71;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;30;98;11;31
72;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N3; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;32;93;11;32
73;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;37;116;11;46
74;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;30;96;12;35
75;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Conchoidal;No;Dark mineral inclusion;30;82;10;23
76;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;29;105;11;32
77;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;lanceolate;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;30;120;10;40
78;Brännraningen;7097810;737137;Vännäs;Gray streaked with black;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;No;Granular;Fine-grained;Bright vitreous;Possible bedding;None;Conchoidal;No;Dark mineral inclusion;25;117;9;29
79;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;triangular;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;26;56;10;13
80;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;30;54;11;19
81;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;lanceolate;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;30;93;10;28
82;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;32;53;11;23
83;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N1; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;28;81;10;24
84;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;25;91;10;21
85;Brännraningen;7097810;737137;Vännäs;Gray;Dark;N2; ;Quartzite;lanceolate, straight base;Point preform;Preform;stray find - hoard;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;32;94;11;34
86;Dorotea 225;7175429;525341;Dorotea;Gray streaked with black;Dark;7.5Y; 3/1;Quartzite;;Point preform;Preform;Stray find;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral inclusion;23;35;7;5
87;Dorotea 225;7175429;525341;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;32;45;8;15
88;Dorotea 225;7175429;525341;Dorotea;Dark gray;Dark;10Y; 3/1;Quartzite;;Point preform;Preform;Stray find;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;28;38;8;12
89;Dorotea 229;7175796;524955;Dorotea;Gray;Dark;7.5Y; 2/1;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of quartz;25;35;9;10
90;Dorotea 229;7175796;524955;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;28;58;9;18
91;Dorotea 229;7175796;524955;Dorotea;Gray;Dark;N2; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;26;63;8;14
92;Dorotea 304;7174756;522069;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;36;61;15;35
93;Dorotea 304;7174756;522069;Dorotea;Gray;Light;7.5Y; 6/1;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Bright vitreous;None;None;Irregular;No;Bands of quartz;39;97;14;51
94;Dorotea 304;7174756;522069;Dorotea;Gray;Dark;5GY; 4/1;Quartzite;lanceolate, straight base;Point preform;Preform;Stray find;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Bands of quartz;25;70;19;38
95;Dorotea 304;7174756;522069;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Mineral grains;42;65;13;35
96;Dorotea 304;7174756;522069;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;34;45;14;22
97;Dorotea 118;7165907;521840;Dorotea;Gray;Dark;N5; ;Quartzite;;Point preform;Preform;Surveyed;Yes;Massive;Fine-grained;Bright vitreous;None;Possible foliation;Conchoidal;Yes;;44;62;29;96
98;Dorotea 118;7165907;521840;Dorotea;Black;Dark;N2; ;Quartzite;;Spear point;Point;Surveyed;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;44;56;14;38
99;Dorotea 19;7128043;554611;Dorotea;Black;Dark;N1; ;Quartzite;triangular, concave base;Point;Point;Surveyed;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;15;45;;
100;Dorotea 17;7131531;554728;Dorotea;Gray;Dark;N2; ;Quartzite;;Point;Point;Surveyed;No;Massive;Fine-grained;Bright vitreous;None;None;Smooth;No;Dark mineral inclusion;31;22;6;6
101;Dorotea 17;7131531;554728;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Surveyed;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;30;50;8;12
102;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N1; ;Quartzite;lanceolate, straight base;Arrow point;Point;Surveyed;Yes;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;19;53;7;6
103;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;31;48;10;16
104;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Dark mineral inclusion;31;55;9;14
105;Dorotea 214;7169499;533049;Dorotea;Opaque;Light;5Y; 9/1;Quartzite;;Point;Point;Surveyed;Yes;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;20;26;7;4
106;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N2; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Quartz;45;92;24;88
107;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N2; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of quartz;43;81;18;70
108;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N2; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;40;90;23;77
109;Dorotea 302;7169794;531356;Dorotea;Gray;Dark;7.5Y; 2/1;Quartzite;lanceolate;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;22;78;12;20
110;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Surveyed;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of quartz;51;82;18;80
111;Dorotea 214;7169499;533049;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;46;71;13;44
112;Dorotea 302;7169794;531356;Dorotea;Gray;Dark;7.5Y; 2/1;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;15;27;6;2
113;Dorotea 302;7169794;531356;Dorotea;Black;Dark;N1; ;Quartzite;triangular, straight base;Point;Point;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;17;39;10;6
114;Dorotea 226;7169945;531290;Dorotea;Light gray;Light;N8; ;Quartzite;lanceolate, straight base;Point;Point;Surveyed;No;Granular;Medium-grained;Dull;None;None;Fine;Yes;;21;69;8;11
115;Dorotea 226;7169945;531290;Dorotea;Light gray;Light;N8; ;Quartzite;lanceolate, straight base;Point;Point;Surveyed;No;Granular;Fine-grained;Dull;None;None;Fine;Yes;;13;38;6;4
116;Dorotea 226;7169945;531290;Dorotea;Dark gray;Dark;N2; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Waxy;None;None;Fine;No;Bands of quartz;30;41;8;9
117;Dorotea 10;7139492;553134;Dorotea;Dark gray;Dark;N2; ;Quartzite;;Point;Point;Surveyed;Yes;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Mineral grains;15;42;8;7
118;Dorotea 215;7169138;533634;Dorotea;Gray;Dark;N5; ;Quartzite;;Point preform;Preform;Surveyed;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;45;94;33;127
119;Dorotea 246;7170110;530327;Dorotea;Gray;Dark;N5; ;Quartzite;;Spear point;Point;Survey;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Bands of quartz;28;54;11;18
120;Dorotea 106;7169617;532658;Dorotea;Black;Dark;N1; ;Quartzite;;Spear point fragment;Point fragment;Surveyed;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Mineral grains;33;49;10;17
121;Dorotea 10;7139492;553134;Dorotea;Black;Dark;N1; ;Quartzite;;Preform;Preform;Surveyed;No;Granular;Fine-grained;Waxy;None;None;Fine;No;Quartz grains;23;38;9;10
122;Dorotea 143;7135759;553501;Dorotea;Gray;Dark;2.5PB; 5/1;Quartzite;;Point preform;Preform;Surveyed;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;42;87;23;74
123;Dorotea 143;7135759;553501;Dorotea;Gray;Dark;7.5Y; 3/1;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;40;77;18;46
124;Dorotea 143;7135759;553501;Dorotea;Dark gray;Dark;N3; ;Quartzite;;Point preform;Preform;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;23;54;8;16
125;Dorotea 143;7135759;553501;Dorotea;Opaque;Light;2.5Y; 9/1;Quartz;lanceolate, straight base;Point;Point;Surveyed;No;Massive;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral grains;17;45;6;4
126;Dorotea 84;7138940;553416;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;41;53;11;29
127;Dorotea 84;7138940;553416;Dorotea;Gray;Dark;N2; ;Quartzite;;Point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Smooth;No;Dark mineral inclusion;13;23;4;
128;Dorotea 84;7138940;553416;Dorotea;Black;Dark;N1; ;Quartzite;lanceolate, straight base;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;No;Bands of quartz;14;42;5;7
129;Dorotea 84;7138940;553416;Dorotea;Dark yellow;Light;2.5Y; 6/3;Quartzite;lanceolate;Point;Point;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;18;27;5;5
130;Dorotea 84;7138940;553416;Dorotea;Light gray;Dark;10Y; 5/2;Quartzite;;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Dark mineral grains;21;24;7;5
131;Dorotea 84;7138940;553416;Dorotea;Opaque;Light;5Y; 6/2;Quartzite;triangular, concave base;Point;Point;Excavation;Yes;Granular;Fine-grained;Waxy;None;Possible foliation;Smooth;No;;21;44;9;7
132;Dorotea 84;7138940;553416;Dorotea;Black;Dark;N1; ;Quartzite;;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;16;20;6;3
133;Dorotea 84;7138940;553416;Dorotea;Gray;Dark;5Y; 2/1;Quartzite;;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;48;115;26;135
134;Dorotea 84;7138940;553416;Dorotea;Opaque;Light;5Y; 7/1;Quartzite;;Point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;18;27;6;4
135;Dorotea 84;7138940;553416;Dorotea;Opaque;Light;5Y; 7/1;Quartzite;straight base;Spear point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;29;51;10;22
136;Dorotea 84;7138940;553416;Dorotea;White;Light;5Y; 8/1;Quartzite;straight base;Arrow point;Point;Excavation;No;Granular;Fine-grained;Dull;None;None;Smooth;No;Bands of quartz;15;24;5;2
137;Dorotea 84;7138940;553416;Dorotea;Dark yellow;Dark;2.5Y; 4/3;Quartzite;;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;12;18;4;
138;Dorotea 84;7138940;553416;Dorotea;Gray;Dark;N4; ;Quartzite;;Point preform;Preform;Excavation;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;30;35;10;12
139;Dorotea 229;7175796;524955;Dorotea;Black;Dark;N3; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;Possible bedding;None;Conchoidal;No;Dark mineral inclusion;47;86;15;63
140;Dorotea 229;7175796;524955;Dorotea;Black;Dark;N2; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Fine;No;Bands of quartz;26;44;26;9
141;Dorotea 229;7175796;524955;Dorotea;Black;Dark;N2; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;35;44;12;20
142;Dorotea 229;7175796;524955;Dorotea;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Fine-grained;Waxy;Possible bedding;None;Conchoidal;No;Dark mineral inclusion;27;45;9;10
143;Dorotea 507;7150720;545284;Dorotea;White;Light;7.5Y; 8/2;Quartzite;lanceolate, convex base;Spear point;Point;Surveyed;Yes;Massive;Fine-grained;Bright vitreous;None;None;Smooth;No;Iron;43;143;;
144;Dorotea 229;7175796;524955;Dorotea;Gray;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;20;20;8;30
145;Dorotea 628;7138721;553788;Dorotea;Brown streaked with black;Dark;2.5Y; 4/3;Quartzite;lanceolate;Point;Point;Surveyed;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Dark mineral inclusion;35;98;;
146;Dorotea 229;7175796;524955;Dorotea;White;Light;5Y; 9/1;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Dull;None;None;Conchoidal;No;Quartz;26;54;10;11
147;Dorotea 229;7175796;524955;Dorotea;Gray;Light;N6; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;41;78;14;35
148;Dorotea 304;7174756;522069;Dorotea;Brown;Dark;2.5Y; 3/2;Quartzite;;Point;Point;Stray find;No;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;12;15;5;2
149;Dorotea 304;7174756;522069;Dorotea;Gray;Light;2.5Y; 6/1;Quartzite;;Point preform;Preform;Stray find;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;25;16;11;6
150;Dorotea 304;7174756;522069;Dorotea;Gray;Dark;N3; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;37;30;13;15
151;Dorotea 304;7174756;522069;Dorotea;Gray;Dark;N3; ;Quartzite;;Spear point;Point;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of quartz;34;33;11;12
152;Åsele 182;7120412;600842;Åsele;White streaked with black;Dark;N3; ;Quartzite;;Point preform;Preform;Survey;Yes;Granular;Fine-grained;Dull;None;None;Conchoidal;No;Dark mineral inclusion;44;76;19;63
153;Åsele 182;7120412;600842;Åsele;Brown;Dark;5Y; 4/3;Quartzite;;Point preform;Preform;Survey;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;42;91;25;125
154;Åsele 409;7116870;615892;Åsele;White;Light;5Y; 9/1;Quartzite;;Point preform;Preform;Unknown;Yes;Granular;Fine-grained;Dull;None;None;Smooth;No;Dark mineral inclusion;40;80;13;42
155;;7119882;617013;Åsele;Opaque;Light;2.5Y; 8/1;Quartzite;triangular;Point preform;Preform;Unknown;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;18;40;6;4
156;;7119882;617013;Åsele;Gray;Light;5Y; 6/1;Quartzite;;Point preform;Preform;Unknown;Yes;Granular;Fine-grained;Dull;None;None;Smooth;No;Dark mineral inclusion;30;33;10;13
157;;7119882;617013;Åsele;Brown;Dark;2.5Y; 3/2;Quartzite;;Point preform;Preform;Unknown;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;29;42;9;13
158;;7119882;617013;Åsele;Black;Dark;N1; ;Quartzite;triangular, straight base;Point;Point;Unknown;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;20;47;6;5
159;;7119882;617013;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Unknown;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;25;50;7;11
160;;7119882;617013;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Unknown;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;25;51;8;12
161;;7119882;617013;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Unknown;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;30;23;7;7
