Sample_ID;Site_ID;Inv.nr;Sub nr.;Fyndlåda;Objekt;Find nr.;Artefact;Type;Skärning;Sweref_N;Sweref_E;Parish;Foto nr.;Material;Color;Hue;Texture_1;Texture_2;Luster;Sedimentary structures;Foliation;Grain size;Layering;Topography;Homogeneity;Inclusion;%-inclusion;Surface;Patina;Max width (mm);Max length (mm);Max height (mm);Weight(g)
486;Lycksele 301;32334;54;;;;Arrow point;Point;;7168150;676423;Lycksele;"IMG_0447;IMG_0448";Quartzite;Black;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Mineral grains;;;Yes;16,8;35,7;;3,4
487;Lycksele 301;32334;56;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0449;IMG_0450";Quartzite;Opaque;Light;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;19,6;41,3;;4,1
488;Lycksele 301;32334;57;;;;Arrow point;Point;;7168150;676423;Lycksele;"IMG_0451;IMG_0454";Quartzite;Black;Dark;Granular;Medium-grained;Dull;None;Foliated;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;16,2;55,7;;6,2
489;Lycksele 301;32334;58;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0455;IMG_0457";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;Foliated;Granoblastic;Non-foliated;Fine;No;Mineral grains;;;Yes;18,8;53,2;;7,3
490;Lycksele 301;32334;59;;;;Arrow point;Point;;7168150;676423;Lycksele;"IMG_0458;IMG_0459";Quartzite;White;White;Granular;Fine-grained;Bright vitreous;None;Foliated;Granoblastic;Non-foliated;Fine;Yes;;;;No;16,5;39,7;;4,2
491;Skellefteå socken 123;Saknas;;;;F5;Point preform;Preform;;7196682;755062;Skellefteå;"IMG_0466;IMG_0467";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;Foliated;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;67;99;23;158
492;Skellefteå socken 123;Saknas;;;;F6;Point preform;Preform;;7196682;755062;Skellefteå;"IMG_0468;IMG_0469";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;Foliated;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;49;102;20;86
493;Skellefteå socken 123;Saknas;;;;F7;Point preform;Preform;;7196682;755062;Skellefteå;"IMG_0470;IMG_0471";Quartzite;Black;Dark;Massive;Medium-grained;Waxy;None;Foliated;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;74;122;27;192
494;Skellefteå socken 123;Saknas;;;;F11;Point preform;Preform;;7196682;755062;Skellefteå;"IMG_0472;IMG_0475";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;Foliated;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;85;109;38;256
495;Skellefteå socken 123;Saknas;;;;F36;Point preform;Preform;;7196682;755062;Skellefteå;"IMG_0476;IMG_0478";Quartzite;Black;Dark;Massive;Medium-grained;Waxy;None;Foliated;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;59;68;24;84
496;Bureå 252:1;SM26769;1;;;F1;Point;Point;;7180835;787001;Bureå;"IMG_0479;IMG_0480";Quartz;Opaque streaked with black;Light;Granular;Fine-grained;Waxy;None;Foliated;Granoblastic;Non-foliated;Fine;No;Dark mineral inclusion;25;;No;14;21;8;
497;Bureå 252:1;SM26769;7;;;F7;Point;Point;;7180835;787001;Bureå;"IMG_0481;IMG_0482";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;Foliated;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;26;53;11;
498;Bureå 252:1;SM26769;17;;;F17;Point;Point;;7180835;787001;Bureå;"IMG_0483;IMG_0484";Quartz;Opaque;Light;Massive;Fine-grained;Waxy;Possible bedding;Possible foliation;Granoblastic;Non-foliated;Fine;Yes;;;;No;16;31;6;
499;Bureå 252:1;SM26769;18;;;F18;Point;Point;;7180835;787001;Bureå;"IMG_0485;IMG_0487";Quartzite;Black;Dark;Massive;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;;No;29;60;12;
500;Bureå 252:1;SM26769;22;;;F22;Point;Point;;7180835;787001;Bureå;"IMG_0488;IMG_0489";Quartz;Dark gray streaked with black;Dark;Massive;Fine-grained;Dull;None;None;Granoblastic;Foliated;Fine;No;Either quartz bands in dark quartzite or dark inclusion in quartz;;;No;19;39;5;
501;Norsjö 99:2;SM9588;4;;;F4;Arrow point;Point;;7220374;705471;Norsjö;"IMG_0491;IMG_0492";Felsitic porphyric quartz;Opaque;White;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Foliated;Fine;No;Bands of quartz;;;No;18;48;11;
502;Norsjö 99:2;SM9588;35;;;F35;Point preform;Preform;;7220374;705471;Norsjö;"IMG_0493;IMG_0495";Felsitic porphyric quartz;Gray;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;White streaks;;;No;16;55;7;
503;Norsjö 99:2;SM9588;36;;;F36;Point preform;Preform;;7220374;705471;Norsjö;"IMG_0496;IMG_0497";Felsitic porphyric quartz;Gray;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;17;34;5;
504;Norsjö 99:2;SM9588;50;;;F50;Point;Point;;7220374;705471;Norsjö;"IMG_0499;IMG_0501";Felsitic porphyric quartz;Light gray;Light;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;37;73;10;
505;Norsjö 99:2;SM9588;141;;;F141;Arrow point;Point;;7220374;705471;Norsjö;"IMG_0502;IMG_0503";Quartz;White;White;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;15;25;6;
Calahan ref 1;;;;;;;;Reference;;;;;IMG_0504;Quartzite;Light gray;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;43;43;;
Calahan ref 2;;;;;;;;Reference;;;;;IMG_0505;Quartzite;Light gray;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;27;30;;
Calahan ref 3;;;;;;;;Reference;;;;;IMG_0506;Quartzite;Light gray;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;77;136;;
Calahan ref 4;;;;;;;;Reference;;;;;IMG_0507;Quartzite;Black;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;61;58;;
Calahan ref 5;;;;;;;;Reference;;;;;IMG_0508;Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;50;62;;
Calahan ref 6;;;;;;;;Reference;;;;;IMG_0509;Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;44;72;;
Vilhelmina_ref_1;Vilhelmina 909;;;;;;;Reference;;7208785;525415;Vilhelmina;"IMG_0511;IMG_0512";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;108;114;;
Vilhelmina_ref_2;Vilhelmina 1157:2;;;;;;;Reference;;7202350;540325;Vilhelmina;"IMG_0513;IMG_0514";Quartzite;Dark gray;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Foliated;Conchoidal;No;Both dark mineral veins and quartz veins;;;Yes;100;163;;
Vilhelmina_ref_3;Vilhelmina 1157:2;;;;;;;Reference;;7202350;540325;Vilhelmina;"IMG_0515;IMG_0516";Quartzite;Dark gray;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;;No;89;89;;
Vilhelmina_ref_4;Vilhelmina 909;;;;;;;Reference;;7208785;525415;Vilhelmina;"IMG_0517;IMG_0518";Quartzite;Black;Dark;Massive;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;34;86;;
Vilhelmina_ref_5;Vilhelmina 909;;;;;;;Reference;;7208785;525415;Vilhelmina;"IMG_0519;IMG_0520";Quartzite;Gray;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;49;67;;
Vilhelmina_ref_6;Vilhelmina 909;;;;;;;Reference;;7208785;525415;Vilhelmina;"IMG_0521;IMG_0522";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;33;54;;
Vilhelmina_ref_7;"""Ayres Rock""";;;;;;;Reference;;7211992;534055;Vilhelmina;"IMG_0523;IMG_0524";Quartzite;Dark gray;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Smooth;Yes;;;;No;22;33;;
Vilhelmina_ref_8;"""Ayres Rock""";;;;;;;Reference;;7211992;534055;Vilhelmina;"IMG_0525;IMG_0526";Quartzite;Black;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Foliated;Fine;No;Bands of quartz;;;Yes;20;36;;
Vilhelmina_ref_9;"""Ayres Rock""";;;;;;;Reference;;7211992;534055;Vilhelmina;"IMG_0527;IMG_0528";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Foliated;Fine;No;Bands of quartz;;;Yes;58;67;;
Vilhelmina_ref_10;Vilhelmina 640/651;;;;;;;Reference;;7212329;534287;Vilhelmina;"IMG_0529;IMG_0530";Quartzite;Gray;Dark;Granular;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Conchoidal;No;Bands of quartz;;;No;38;67;;
Vilhelmina_ref_11;Vilhelmina 135:1;;;;;;;Reference;;7198760;546144;Vilhelmina;"IMG_0531;IMG_0532";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;;;;No;35;57;;
Vilhelmina_ref_12;Vilhelmina 1024;;;;;;;Reference;;7211818;524477;Vilhelmina;"IMG_0533;IMG_0534";Quartzite;Gray;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;;;No;38;55;;
Vilhelmina_ref_13;Vilhelmina 1152:1;;;;;;;Reference;;7202395;539976;Vilhelmina;"IMG_0535;IMG_0536";Quartzite;Light gray;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Larger quartz crystals;;;No;35;48;;
Vilhelmina_ref_14;Vilhelmina 1152:1;;;;;;;Reference;;7202395;539976;Vilhelmina;"IMG_0537;IMG_0538";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;30;58;;
Vilhelmina_ref_15;Vilhelmina 1152:1;;;;;;;Reference;;7202395;539976;Vilhelmina;"IMG_0539;IMG_0540";Quartzite;Black;Dark;Massive;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;26;32;;
Vilhelmina_ref_16;Vilhelmina 1153:1;;;;;;;Reference;;7202373;540309;Vilhelmina;"IMG_0541;IMG_0542";Quartzite;Black;Dark;Massive;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;32;67;;
Vilhelmina_ref_17;Vilhelmina 1153:1;;;;;;;Reference;;7202373;540309;Vilhelmina;"IMG_0543;IMG_0544";Quartzite;Black;Dark;Massive;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;35;27;;
Stantors_1;L1936:1850;;;;;;;Reference;;7131423;785482;Vilhelmina;"IMG_0545;IMG_0547";Quartzite;White;White;Massive;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;34;30;;
Stantors_2;L1936:1850;;;;;;;Reference;;7131423;785482;Vilhelmina;"IMG_0549;IMG_0552";Quartzite;White;White;Massive;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;27;35;;
Stantors_3;L1936:1850;;;;;;;Reference;;7131423;785482;Vilhelmina;"IMG_0553;IMG_0555";Quartzite;White;White;Massive;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Irregular;Yes;;;;Yes;43;65;;
Stantors_4;L1936:1850;;;;;;;Reference;;7131423;785482;Vilhelmina;"IMG_0556;IMG_0557";Quartzite;White;White;Massive;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;34;89;;
Fågelberget_1;L1939:6460/L1936:1445;;;;;;;Reference;;7185576;790441;Vilhelmina;"IMG_0558;IMG_0559";Feldspar;Pink;Light;Massive;Massive;Bright vitreous;None;None;Granoblastic;Non-foliated;Smooth;Yes;;;;Yes;34;43;;
Fågelberget_2;L1939:6460/L1936:1445;;;;;;;Reference;;7185576;790441;Vilhelmina;"IMG_0560;IMG_0561";Quartz;White;Light;Massive;Massive;Dull;None;None;Granoblastic;Non-foliated;Smooth;No;Feldspar inclusion;;;Yes;28;59;;
Fågelberget_3;L1939:6460/L1936:1445;;;;;;;Reference;;7185576;790441;Vilhelmina;"IMG_0562;IMG_0563";Quartz;Pinkish white;Light;Granular;Massive;Waxy;None;None;Granoblastic;Non-foliated;Smooth;No;Likely feldspar inclusion;;;Yes;39;60;;
Fågelberget_4;L1939:6460/L1936:1445;;;;;;;Reference;;7185576;790441;Vilhelmina;"IMG_0564;IMG_0565";Quartz;White;White;Granular;Massive;Waxy;None;None;Granoblastic;Non-foliated;Smooth;Yes;;;;Yes;30;48;;
Fågelberget_5;L1939:6460/L1936:1445;;;;;;;Reference;;7185576;790441;Vilhelmina;"IMG_0566;IMG_0567";Quartz;Pinkish white;White;Granular;Massive;Waxy;None;None;Granoblastic;Non-foliated;Smooth;No;Likely feldspar inclusion;;;Yes;29;42;;
MP Petro 28;Anundsjö 369;;;;;;;Reference;;7062822;640936;Anundsjö;"IMG_0568;IMG_0569";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Porphyroblastic;Foliated;Conchoidal;No;Quartz veins;;;No;110;110;;
MP Petro 26;Anundsjö 261;;;;;;;Reference;;7067250;636804;Anundsjö;"IMG_0570;IMG_0571";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;95;108;;
MP Petro 27;Klocken;;;;;;;Reference;;;;;"IMG_0572;IMG_0573";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Foliated;Conchoidal;No;Quartz veins;;;Yes;115;120;;
Knutsson ref 1;;;;;;;;Reference;;;;;"IMG_0574;IMG_0575";Quartzite;White;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;55;63;;
Knutsson ref 2;;;;;;;;Reference;;;;;"IMG_0576;IMG_0577";Quartzite;White;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;38;64;;
Knutsson ref 3;;;;;;;;Reference;;;;;"IMG_0578;IMG_0579";Quartzite;White;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;22;58;;
