Sample_ID;Site_ID;Inv.nr;Sub nr.;Fyndlåda;Objekt;Find nr.;Artefact;Type;Skärning;Sweref_N;Sweref_E;Parish;Foto nr.;Material;Color;Hue;Texture_1;Texture_2;Luster;Sedimentary structures;Foliation;Grain size;Layering;Topography;Homogeneity;Inclusion;%-inclusion;Surface;Patina;Max width (mm);Max length (mm);Max height (mm);Weight(g)
410;Vilhelmina 1069;32274;1;;;;Point fragment;Point fragment;;7218085;508318;Vilhelmina;"IMG_0267;IMG_0268";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Bands of quartz;;;No;27,5;50,8;26;17
411;Vilhelmina 1124;32287;;;;;Point;Point;;7213074;502865;Vilhelmina;"IMG_0269;IMG_0270";Quartzite;Black;Dark;Granular;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;25,4;58;26;17,9
412;;32161;1;;;;;;;;;;"IMG_0272;IMG_0273";Quartzite;White;White;Granular;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;22;65;;
413;Vilhelmina 637;32213;1;;;;Point;Point;;7202213;540640;Vilhelmina;"IMG_0274;IMG_0275";Quartzite;Black;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;30,6;63,5;26;25,5
414;Vilhelmina 643;32216;3;1;1;;Point preform;Preform;;7196664;540871;Vilhelmina;"IMG_0276;IMG_0277";Quartzite;Light gray streaked with black;Light;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;;;No;38;68;;
415;Vilhelmina 643;32216;3;1;2;;Point preform;Preform;;7196664;540871;Vilhelmina;"IMG_0278;IMG_0279";Quartzite;Black;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;34;74;;
416;Vilhelmina 643;32216;3;1;3;;Point preform;Preform;;7196664;540871;Vilhelmina;"IMG_0280;IMG_0281";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;24;42;;
417;Vilhelmina 1127;32290;1;;;;Point preform;Preform;;7214358;499190;Vilhelmina;"IMG_0282;IMG_0283";Quartzite;Black;Dark;Granular;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;30,5;60;26;28,6
418;;35777;5;;;;Arrow point;Point;;7201665;548201;Vilhelmina;"IMG_0284;IMG_0285";Quartzite;Black;Dark;Granular;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;No;Bands of quartz;;;Yes;19;60;;
419;;35761;7;;;;Point preform;Preform;;7201665;548201;Vilhelmina;"IMG_0286;IMG_0287";Quartzite;Brown streaked with black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;;;No;22;58;;
420;;35777;6;;;;Arrow point;Point;;7201665;548201;Vilhelmina;"IMG_0288;IMG_0289";Quartzite;Light gray streaked with black;Light;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Dark mineral inclusion;;;No;29;84;;
421;;35777;7;;;;Arrow point fragment;Point fragment;;7201665;548201;Vilhelmina;"IMG_0290;IMG_0291";Quartzite;White;White;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;16;34;;
422;;35783;10;;;;Arrow point;Point;;7201665;548201;Vilhelmina;"IMG_0292;IMG_0293";Quartzite;Opaque;Light;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Dark mineral inclusion;;;No;17;47;;
423;Åsele 273;36080;;;;;Point preform;Preform;;7102728;629862;Åsele;"IMG_0294;IMG_0295";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;;;Yes;33;70;;
424;Åsele 182;36083;1;;;;Arrow point;Point;;7120412;600842;Åsele;"IMG_0296;IMG_0297";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Bands of quarz;;;No;21;59;;
425;Åsele 182;36083;2a;;;;Point preform;Preform;;7120412;600842;Åsele;"IMG_0298;IMG_0299";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;30;64;;
426;Åsele 56;36092;3b;;;;Point preform;Preform;;7118032;606258;Åsele;"IMG_0300;IMG_0301";Quartzite;Gray streaked with black;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;;;No;24;62;;
427;Åsele 56;36092;3c;;;;Point preform;Preform;;7118032;606258;Åsele;"IMG_0302;IMG_0303";Quartzite;Gray;Light;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Conchoidal;No;Bands of quartz;;;No;30;55;;
428;Åsele 188;36096;1;;;;Arrow point;Point;;7119941;601259;Åsele;"IMG_0304;IMG_0305";Quartzite;Black;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Quartz;;;Yes;22;56;;
429;Vilhelmina 419;27037;1;;;;Point preform;Preform;;7149834;586655;Vilhelmina;"IMG_0306;IMG_0307";Quartzite;Light gray;Light;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Bands of quartz;;;No;36;101;10;40
430;Vilhelmina 335;14111;4;;;;Point preform;Preform;;7147441;586629;Vilhelmina;"IMG_0308;IMG_0309";Quartzite;Black;Dark;Massive;Fine-grained;Bright vitreous;None;Possible foliation;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;26;42;13;12
431;Vilhelmina 112;2525;;;;;Arrow point fragment;Point fragment;;7201159;511621;Vilhelmina;"IMG_0310;IMG_0311";Quartzite;Opaque;Light;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;;No;33;42;7;9
432;Vilhelmina 399;21598;4;;;;Point fragment;Point fragment;Spetsoval, tvär bas;7159767;582529;Vilhelmina;"IMG_0312;IMG_0313";Quartzite;Black;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;14;17;6;2
433;Lycksele 301;32334;1;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0321;IMG_0322";Quartzite;Beige;Light;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Foliated;Fine;No;Red/pinkish streaks;;;Yes;37;30;;
434;Lycksele 301;32334;2;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0323;IMG_0324";Quartzite;Opaque;Light;Massive;Fine-grained;Dull;None;Foliated;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;15,9;26,7;;2,9
