reading_no	sample_measurement_id	sample_id	site_id	parish	patina	munsell_hue	munsell_value	hue	color	material	artefact	type	note_measurement	texture_1	texture_2	luster	sedimentary_structures	foliation	topography	homogeneity	inclusion	surface	sample_size	t[1]	t[2]	t[3]
702	77	77	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	Iron oxide	Large	-1.035024201389995	0.38454173531473446	-0.9504465264689796
703	78a	78	MV	Vännäs	No	N2	 	Dark	Gray streaked with black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	Possible bedding	None	Conchoidal	No	Dark mineral inclusion	MV	Large	0.1739274172223353	0.5103360339592808	1.4918296247496539
704	78b	78	MV	Vännäs	No	N2	 	Dark	Gray streaked with black	Quartzite	Point preform	Preform	Sample point on dark mineral inclusion	Granular	Fine-grained	Bright vitreous	Possible bedding	None	Conchoidal	No	Dark mineral inclusion	MV	Large	5.666415871883298	-1.0233412326125526	1.7686456716612962
705	79	79	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Medium	-1.719226816267258	0.6567259424189827	-1.0534123506034092
706	80	80	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	-0.03180452449545417	-0.1542577804431937	-0.7790915926290164
707	81	81	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Large	0.31628558932505674	0.2226309531222376	-0.9962729460207181
708	82	82	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Medium	-1.1851241388771319	1.1641934720699958	-1.1875958085680631
709	83	83	MV	Vännäs	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Large	8.32328230683661	0.042207751599922884	-0.3549613086222258
710	84	84	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Large	0.045241884852441086	1.940240526754432	-0.287691464556647
711	85	85	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Large	6.516522315949374	-0.9034791224855232	0.1661523442545626
712	86	86	Dorotea 225	Dorotea	No	7.5Y	 3/1	Light	Gray streaked with black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	None	None	Fine	No	Dark mineral inclusion	MV	Medium	-0.9970060174770908	2.0812318608469074	-2.2677466550045993
713	87	87	Dorotea 225	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	-2.9412939531506543	1.033654037512991	-0.25452788674981486
714	88	88	Dorotea 225	Dorotea	No	10Y	 3/1	Dark	Dark gray	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	-1.840690453708949	0.05407598844356122	0.4811473571946621
715	89	89	Dorotea 229	Dorotea	No	7.5Y	 2/1	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Bands of quartz	MV	Medium	-1.2833351867765863	1.1534017425359655	-1.4143557608307378
716	90	90	Dorotea 229	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	Glue/resin	Medium	-2.670826061697718	-1.1529361074788207	-0.0800775084271332
717	91	91	Dorotea 229	Dorotea	No	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	2.294173263207514	-2.0959184383518954	-1.2689922868475065
718	92	92	Dorotea 304	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Large	5.7949740777447944	-1.069784079916823	-2.8058101185524023
719	93	93	Dorotea 304	Dorotea	No	7.5Y	 6/1	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Irregular	No	Bands of quartz	MV	Large	4.902322504242518	-1.222684231603053	-0.8507198090694169
720	94	94	Dorotea 304	Dorotea	Yes	5GY	 4/1	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Bands of quartz	Red residue	Medium	-2.1113148840078106	0.36611129805787923	-0.4566811066217971
721	95	95	Dorotea 304	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	Measured large fragment	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Mineral grains	MV	Large	5.071936942810699	-1.7712770632716508	-1.5340291092718013
722	96	96	Dorotea 304	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	-1.1571624076942735	-0.11922768504031805	-1.7989219745552112
723	97	97	Dorotea 118	Dorotea	Yes	N5	 	Light	Gray	Quartzite	Point preform	Preform	MV	Massive	Fine-grained	Bright vitreous	None	Possible foliation	Conchoidal	Yes	MV	Iron oxide	Large	0.062034168495259896	1.8900677118898035	-1.2254197340285562
724	98	98	Dorotea 118	Dorotea	Yes	N2	 	Dark	Black	Quartzite	Spear point	Point	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Large	-1.6031400072266229	1.641688263620326	-0.07023139261213701
725	99	99	MV	Dorotea	No	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Fine-grained	Waxy	None	None	Fine	Yes	MV	MV	Medium	8.873457123330633	-0.10490483266760996	2.0829188747321252
726	100	100	Dorotea 17	Dorotea	No	N2	 	Dark	Gray	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral inclusion	MV	Medium	-1.6949978939591073	0.24384784339086202	1.8592642515006794
727	101	101	Dorotea 17	Dorotea	Yes	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	5.152760930337898	-1.392064012157643	-1.1517832962262535
728	102	102	Dorotea 214	Dorotea	Yes	N1	 	Dark	Black	Quartzite	Arrow point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	Iron oxide	Medium	-1.5942579912984145	0.1587447120526724	0.8808052842555798
729	103	103	Dorotea 214	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	5.378076779511728	-0.8013061153722335	-3.06849415205943
730	104	104	Dorotea 214	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral inclusion	MV	Medium	5.195572320522353	-0.8808093311512043	-0.7606014751789861
731	105	105	Dorotea 214	Dorotea	Yes	5Y	 9/1	Light	Opaque	Quartzite	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Fine	Yes	MV	MV	Small	-2.811509797110417	-0.9455899105572467	0.4629243888793112
732	106	106	Dorotea 214	Dorotea	No	N2	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Quartz	MV	Large	5.50945410322273	-1.1238305806017008	-0.5331269179781065
733	107	107	Dorotea 214	Dorotea	No	N2	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Bands of quartz	MV	Large	-2.4280388970501616	-0.0926315711082108	0.3143146769199982
734	108	108	Dorotea 214	Dorotea	No	N2	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Large	-2.144527816312588	1.0343707634861696	-0.391932837067063
735	109	109	Dorotea 302	Dorotea	No	7.5Y	 2/1	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Medium	-1.2411257919908019	0.5494719667079537	-0.2791116044449998
736	110	110	Dorotea 214	Dorotea	Yes	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Bands of quartz	MV	Large	6.625001599577396	-1.2214107278399247	-0.8458142638414204
737	111	111	Dorotea 214	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	No	Bands of quartz	MV	Large	-1.7385861458817824	0.6137370854295512	-1.6675869725149428
738	112	112	Dorotea 302	Dorotea	No	7.5Y	 2/1	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Small	-2.2498900145497065	-0.5858530257787353	1.6207162851104266
739	113	113	Dorotea 302	Dorotea	No	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Medium	-2.3323789814929703	-0.6913208976069424	1.3092912250856577
740	114	114	Dorotea 226	Dorotea	No	N8	 	Light	Light gray	Quartzite	Point	Point	MV	Granular	Medium-grained	Dull	None	None	Fine	Yes	MV	MV	Medium	-3.2481013622280948	-2.0678159734237704	2.3954925840918406
741	115	115	Dorotea 226	Dorotea	No	N8	 	Light	Light gray	Quartzite	Point	Point	MV	Granular	Fine-grained	Dull	None	None	Fine	Yes	MV	MV	Small	-2.690453433093219	-1.1865096293172528	1.869205860968323
742	116	116	Dorotea 226	Dorotea	No	N2	 	Dark	Dark gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Fine	No	Bands of quartz	MV	Medium	5.821020665681215	-1.675310326855754	-0.8707592101614535
743	117	117	MV	Dorotea	Yes	N2	 	Dark	Dark gray	Quartzite	Point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Mineral grains	Iron oxide	Medium	-1.183330550129042	1.8089412738727288	-0.7825623355787323
744	118	118	Dorotea 215	Dorotea	Yes	N5	 	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Large	-2.706615279392388	-0.2927324427667331	-1.226014227937372
745	119	119	MV	Dorotea	No	N5	 	Light	Gray	Quartzite	Spear point	Point	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Bands of quartz	MV	Medium	-2.189418546310686	-0.1867943562832656	-0.9335959094796107
746	120	120	MV	Dorotea	Yes	N1	 	Dark	Black	Quartzite	Spear point fragment	Point fragment	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	No	Mineral grains	Dirt	Medium	-0.6184430533436469	1.5576688501731069	-0.40840631509387254
747	121	121	MV	Dorotea	No	N1	 	Dark	Black	Quartzite	Preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Fine	No	Quartz grains	MV	Medium	-2.3162900022984934	0.19426347587712164	-2.355959778373548
748	122	122	Dorotea 143	Dorotea	Yes	2.5PB	 5/1	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	Iron oxide	Large	-1.6937096357674348	0.5431759278863882	0.13319494292799738
749	123	123	Dorotea 143	Dorotea	No	7.5Y	 3/1	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Large	-2.0406312364504924	0.9948330988787742	-0.17971569522169772
750	124	124	Dorotea 143	Dorotea	No	N3	 	Dark	Dark gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	-1.9444813552144766	0.5260837504275789	-0.2966266679430098
751	125	125	Dorotea 143	Dorotea	No	2.5Y	 9/1	Light	Opaque	Quartz	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Smooth	No	Dark mineral grains	MV	Medium	1.0667323289352	-2.334442627733857	-3.3641599711638426
752	126	126	Dorotea 84	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Large	-2.7424068980074123	-0.43559872937931626	-0.20917481000289073
753	127	127	MV	Dorotea	No	N2	 	Dark	Gray	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral inclusion	Dirt?	Small	-0.8084117957466654	1.7120636729210743	1.5720403444345463
754	128	128	MV	Dorotea	No	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Fine-grained	Waxy	None	None	Fine	No	Bands of quartz	MV	Small	6.8664016578486535	-0.6948448691412163	-0.5529536597440209
755	129	129	MV	Dorotea	Yes	2.5Y	 6/3	Light	Dark yellow	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	Yes	MV	MV	Small	-1.9597776495743209	-0.010322709993885766	-0.6429533948001331
756	130	130	Dorotea 84	Dorotea	Yes	10Y	 5/2	Light	Light gray	Quartzite	Point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral grains	MV	Small	-0.7189991434445963	0.6160679526485526	-1.8214756671702585
757	131	131	Dorotea 84	Dorotea	Yes	5Y	 6/2	Light	Opaque	Quartzite	Point	Point	MV	Granular	Fine-grained	Waxy	None	Possible foliation	Smooth	No	MV	MV	Medium	-4.708481167875869	-2.1222252568874436	-0.37021990221865886
758	132	132	Dorotea 84	Dorotea	Yes	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	Yes	MV	MV	Small	-1.6336203196008456	1.1422203618742894	-0.20319850755156926
759	133	133	Dorotea 84	Dorotea	Yes	5Y	 2/1	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	Dirt	Large	7.560929355286311	-1.0168879527223678	0.5402236394463853
760	134	134	Dorotea 84	Dorotea	No	5Y	 7/1	Light	Opaque	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Small	-2.7224954375138894	1.0686567275350176	-0.9984846028962004
761	135	135	Dorotea 84	Dorotea	No	5Y	 7/1	Light	Opaque	Quartzite	Spear point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	Yes	MV	MV	Medium	-2.5728307249499123	-1.6630451062891036	1.0497955967916783
762	136	136	Dorotea 84	Dorotea	No	5Y	 8/1	White	White	Quartzite	Arrow point	Point	MV	Granular	Fine-grained	Dull	None	None	Smooth	No	Bands of quartz	MV	Small	-0.20726530807303595	2.429366826689047	0.8151190801163527
763	137	137	Dorotea 84	Dorotea	No	2.5Y	 4/3	Light	Dark yellow	Quartzite	Point	Point	MV	Granular	Fine-grained	Waxy	None	None	Smooth	Yes	MV	MV	Small	6.0222560156263505	-1.313337861924277	0.6769323763250745
764	138	138	Dorotea 84	Dorotea	No	N4	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	-0.7506322824720041	1.2030769124949319	-2.444274543842604
765	139	139	MV	Dorotea	No	N3	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	Possible bedding	None	Conchoidal	No	Dark mineral inclusion	MV	Large	5.0109410513025345	-0.4620949947665395	-0.9086279964820047
766	140	140	Dorotea 229	Dorotea	No	N2	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Fine	No	Bands of quartz	MV	Medium	-3.261113061860779	-2.23492316513053	-0.4805899278086407
767	141	141	Dorotea 229	Dorotea	No	N2	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	-1.5230386003113523	-0.5572175501962231	0.05167091160031002
768	142	142	Dorotea 229	Dorotea	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	Possible bedding	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	-1.6677236238594955	0.46579801890200173	-1.6015967782042166
769	143a	143	Dorotea 507	Dorotea	Yes	7.5Y	 8/2	White	White	Quartzite	Spear point	Point	Sample point on tip fragment	Massive	Fine-grained	Bright vitreous	None	None	Smooth	No	Iron	Iron oxide and red (modern?) discoloration	Large	5.670630636720457	-0.15996386305365526	0.9168625094985642
770	143b	143	Dorotea 507	Dorotea	Yes	7.5Y	 8/2	White	White	Quartzite	Spear point	Point	Sample point on darker discolored part of base fragment	Massive	Fine-grained	Bright vitreous	None	None	Smooth	No	Iron	Iron oxide and red (modern?) discoloration	Large	-0.4730125785940465	0.8530676277516731	0.36386961698848386
771	144	144	Dorotea 229	Dorotea	No	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Small	-2.717091266099951	-1.2491514876339185	-2.0700432453484923
772	145	145	Dorotea 628	Dorotea	No	2.5Y	 4/3	Dark	Brown streaked with black	Quartzite	Point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral inclusion	MV	Large	5.863611546470072	-0.25726769261940446	-0.6504072178939827
773	146	146	Dorotea 229	Dorotea	No	5Y	 9/1	White	White	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Dull	None	None	Conchoidal	No	Quartz	MV	Medium	4.688910204157821	-1.0656482322045686	-1.073384931842126
774	147	147	Dorotea 229	Dorotea	No	N6	 	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Dark mineral inclusion	MV	Large	-2.5811966233243444	0.8588530151989462	-0.23299637655309113
775	148	148	Dorotea 304	Dorotea	No	2.5Y	 3/2	Light	Brown	Quartzite	Point	Point	MV	Granular	Fine-grained	Waxy	None	None	Smooth	Yes	MV	MV	Small	0.008405336944167329	1.6198907126784554	-2.9367400430529473
776	149	149	Dorotea 304	Dorotea	No	2.5Y	 6/1	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	No	Dark mineral inclusion	MV	Small	7.167661256971001	-0.13567211685061709	-1.0095472549998425
777	150	150	Dorotea 304	Dorotea	No	N3	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	4.741603448194383	-1.4108928785666335	-1.6494551320302837
778	151	151	Dorotea 304	Dorotea	No	N3	 	Dark	Gray	Quartzite	Spear point	Point	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Bands of quartz	MV	Medium	5.065615707760591	-1.4091644857978154	-1.0734161645170057
779	152	152	MV	Åsele	Yes	N3	 	Dark	White streaked with black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Dull	None	None	Conchoidal	No	Dark mineral inclusion	Iron oxide	Large	-1.0118146317494785	0.6269895176978129	2.0074349380070147
780	153	153	Åsele 182	Åsele	No	5Y	 4/3	Dark	Brown	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Dark mineral inclusion	MV	Large	7.206311116252658	-0.6386235109397854	0.09335828555471537
781	154	154	MV	Åsele	Yes	5Y	 9/1	White	White	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Dull	None	None	Smooth	No	Dark mineral inclusion	MV	Large	-0.8009787400231204	0.7413383623734966	-0.1881289614326436
782	155	155	MV	Åsele	No	2.5Y	 8/1	Light	Opaque	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Medium	-3.049198655689088	-0.878640683469073	0.963164814966712
783	156	156	MV	Åsele	Yes	5Y	 6/1	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Dull	None	None	Smooth	No	Dark mineral inclusion	(Modern) white color and resin	Medium	7.412484240658141	-0.15502944419231846	1.7807853704322316
784	157	157	MV	Åsele	No	2.5Y	 3/2	Dark	Brown	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	5.979714444528826	-0.2830463385539894	-0.8173374891868974
785	158	158	MV	Åsele	No	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	-0.439374517980516	0.22793234571463472	-0.5572886035266255
786	159	159	MV	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	7.520304598091866	-0.16214222194310438	-0.7401918232376244
787	160	160	MV	Åsele	Yes	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	Dirt	Medium	6.709461286847221	-0.3790355282947645	-1.087402147842953
788	161	161	MV	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	7.798141814806219	-0.17230843011468627	0.8730891035801606
789	162	162	MV	Åsele	No	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Smooth	No	Mineral grains	MV	Medium	-0.37760639499817594	1.9722290681799584	-0.6424356670694598
790	163	163	MV	Åsele	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Medium	1.8680511325664928	1.486720951762173	-2.495453654428763
791	164	164	MV	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Smooth	Yes	MV	MV	Small	6.833971008349673	-0.5993408443639499	0.6287553209732502
792	165	165	MV	Åsele	No	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Fine-grained	Dull	None	None	Conchoidal	Yes	MV	MV	Small	-0.1597508877838719	1.6137516259794162	0.39606628707299635
793	166	166	MV	Åsele	Yes	N4	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Weathered	No	Dark mineral inclusion	MV	Medium	-1.1536580023012022	1.8764840829040936	1.6825544250749545
794	167	167	Åsele 393	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Dull	None	None	Smooth	Yes	MV	MV	Medium	0.6695101898365388	1.357233521313806	1.2820835852876364
796	168	168	Åsele 129	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Fine	Yes	MV	MV	Medium	-1.633618721550447	0.8571114903794086	-0.21064498017974115
797	169	169	Åsele 129	Åsele	Yes	N1	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Small	-2.069446741153446	1.3377584840809376	-1.297227904018259
798	170	170	Åsele 129	Åsele	Yes	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	Yes	MV	Iron oxide	Small	-1.8410541646774172	1.4206598000397617	-0.3060230853700536
799	171	171	Åsele 129	Åsele	No	N4	 	Light	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Small	-2.8329701470507995	-1.2548300261257548	0.45176359676069466
800	172	172	Åsele 129	Åsele	Yes	N1	 	Dark	Black	Quartzite	Arrow point	Point	MV	Granular	Fine-grained	Waxy	None	None	Fine	No	Bands of quartz	Iron oxide	Medium	-2.300830694955076	-0.09332401487847998	0.4154255766899783
801	173	173	Åsele 129	Åsele	Yes	2.5Y	 3/1	Light	Opaque	Breccie quartz	Arrow point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Fine	No	Dark mineral inclusion	MV	Small	-2.3091014272004795	0.01365354411868163	1.26524531275584
802	174	174	Åsele 129	Åsele	Yes	N1	 	Dark	Gray	Quartzite	Arrow point	Point	MV	Granular	Fine-grained	Dull	None	None	Conchoidal	Yes	MV	MV	Small	-0.8772152465229776	2.6156618083197682	0.9483576273942933
803	175	175	Åsele 129	Åsele	No	N4	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	No	Dark mineral inclusion	MV	Medium	-2.1366080057785277	-0.8764290552543016	1.4627725960653164
804	176	176	Åsele 129	Åsele	Yes	N1	 	Dark	Black	Quartzite	Arrow point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Fine	No	Banded quartz	MV	Medium	-2.3988438835179626	0.3959001434597635	-0.7563015575244592
805	177	177	MV	Åsele	Yes	N1	 	Dark	Black	Quartzite	Preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Mineral grains	Iron oxide	Medium	-1.6455993768315946	-0.09631269882146254	1.6735849642283982
806	178	178	Åsele 91	Åsele	Yes	7.5Y	 7/1	White	White	Quartzite	Bifacial point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral inclusion	MV	Small	6.198540526660343	-0.7768901997908576	0.6179506006295203
807	179	179	Åsele 91	Åsele	No	5Y	 7/2	Light	Opaque	Breccie quartz	Bifacial point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral grains	MV	Small	-2.64382136434618	-0.9004371634281964	0.3290541823972229
808	180	180	Åsele 91	Åsele	No	5Y	 7/2	Light	Opaque	Quartz	Arrow point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Dark mineral grains	MV	Small	5.649707528693494	-0.5011137226387921	0.034604529993997483
809	181	181	Åsele 92	Åsele	Yes	5Y	 7/2	Light	Opaque	Quartz	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	-2.310028677242719	-0.3449954241911084	-0.6439160555408211
810	182	182	Åsele 99	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	4.296965140275869	-0.8120961551028636	-2.35709881127241
811	183	183	MV	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Smooth	No	Mineral grains	MV	Large	-1.390515308885911	1.0121960511350545	-1.042730625567275
812	184	184	Åsele 101	Åsele	No	5Y	 9/1	White	White	Quartzite	Point	Point	MV	Granular	Medium-grained	Dull	None	None	Smooth	No	Quartz and matrix	MV	Medium	-2.3838286315279795	-1.206487444033789	2.032661815463226
813	185	185	Åsele 107	Åsele	No	N1	 	Dark	Black	Quartzite	Preform	Preform	MV	Granular	Fine-grained	Bright vitreous	Bedding	None	Smooth	No	Banded	MV	Medium	0.926917661899376	3.299991200970261	-2.23271928835491
