sample_id;site_id;parish;sweref_x;sweref_y;inv.nr.;sub.nr.;fyndlåda;object;find_nr.;artefact;type;cross_section;photo_nr.;material;color;munsell_hue;munsell_value;texture_1;texture_2;luster;sediment;foliation;homogeneity;inclusion;%-inclusion;surface;patina;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm^2;sample_size;parish_level
Stantors_1;L1936:1850;Bygdeå;7131423;785482;;;;;;;Reference;;"IMG_0545;IMG_0547";Quartzite;White;N9; ;Massive;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;34;30;;;1020;Medium;
Stantors_2;L1936:1850;Bygdeå;7131423;785482;;;;;;;Reference;;"IMG_0549;IMG_0552";Quartzite;White;N9; ;Massive;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;27;35;;;945;Medium;
Stantors_3;L1936:1850;Bygdeå;7131423;785482;;;;;;;Reference;;"IMG_0553;IMG_0555";Quartzite;White;N9; ;Massive;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;43;65;;;2795;Large;
Stantors_4;L1936:1850;Bygdeå;7131423;785482;;;;;;;Reference;;"IMG_0556;IMG_0557";Quartzite;White;N9; ;Massive;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;34;89;;;3026;Large;
Vilhelmina_ref_1;Vilhelmina 909;Vilhelmina;7208785;525415;;;;;;;Reference;;"IMG_0511;IMG_0512";Quartzite;Black;N2; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;108;114;;;12312;Large;
Vilhelmina_ref_10;Vilhelmina 640/651;Vilhelmina;7212329;534287;;;;;;;Reference;;"IMG_0529;IMG_0530";Quartzite;Gray;N2; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;;;No;38;67;;;2546;Large;
Vilhelmina_ref_11;Vilhelmina 135:1;Vilhelmina;7198760;546144;;;;;;;Reference;;"IMG_0531;IMG_0532";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;;;;No;35;57;;;1995;Medium;
Vilhelmina_ref_12;Vilhelmina 1024;Vilhelmina;7211818;524477;;;;;;;Reference;;"IMG_0533;IMG_0534";Quartzite;Gray;2.5Y; 7/1;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of dark mineral;;;No;38;55;;;2090;Large;
Vilhelmina_ref_13;Vilhelmina 1152:1;Vilhelmina;7202395;539976;;;;;;;Reference;;"IMG_0535;IMG_0536";Quartzite;Light gray;2.5Y; 7/1;Granular;Medium-grained;Dull;None;None;No;Larger quartz crystals;;;No;35;48;;;1680;Medium;
Vilhelmina_ref_14;Vilhelmina 1152:1;Vilhelmina;7202395;539976;;;;;;;Reference;;"IMG_0537;IMG_0538";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;30;58;;;1740;Medium;
Vilhelmina_ref_15;Vilhelmina 1152:1;Vilhelmina;7202395;539976;;;;;;;Reference;;"IMG_0539;IMG_0540";Quartzite;Black;N3; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;26;32;;;832;Medium;
Vilhelmina_ref_16;Vilhelmina 1153:1;Vilhelmina;7202373;540309;;;;;;;Reference;;"IMG_0541;IMG_0542";Quartzite;Black;N3; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;32;67;;;2144;Large;
Vilhelmina_ref_17;Vilhelmina 1153:1;Vilhelmina;7202373;540309;;;;;;;Reference;;"IMG_0543;IMG_0544";Quartzite;Black;N3; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;35;27;;;945;Medium;
Vilhelmina_ref_2;Vilhelmina 1157:2;Vilhelmina;7202350;540325;;;;;;;Reference;;"IMG_0513;IMG_0514";Quartzite;Dark gray;N5; ;Granular;Medium-grained;Bright vitreous;Possible bedding;None;No;Both dark mineral veins and quartz veins;;;Yes;100;163;;;16300;Large;
Vilhelmina_ref_3;Vilhelmina 1157:2;Vilhelmina;7202350;540325;;;;;;;Reference;;"IMG_0515;IMG_0516";Quartzite;Dark gray;N5; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;No;89;89;;;7921;Large;
Vilhelmina_ref_4;Vilhelmina 909;Vilhelmina;7208785;525415;;;;;;;Reference;;"IMG_0517;IMG_0518";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;34;86;;;2924;Large;
Vilhelmina_ref_5;Vilhelmina 909;Vilhelmina;7208785;525415;;;;;;;Reference;;"IMG_0519;IMG_0520";Quartzite;Gray;7.5Y; 3/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;49;67;;;3283;Large;
Vilhelmina_ref_6;Vilhelmina 909;Vilhelmina;7208785;525415;;;;;;;Reference;;"IMG_0521;IMG_0522";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;33;54;;;1782;Medium;
Vilhelmina_ref_7;"""Ayres Rock""";Vilhelmina;7211992;534055;;;;;;;Reference;;"IMG_0523;IMG_0524";Quartzite;Dark gray;N2; ;Massive;Fine-grained;Dull;None;None;Yes;;;;No;22;33;;;726;Medium;
Vilhelmina_ref_8;"""Ayres Rock""";Vilhelmina;7211992;534055;;;;;;;Reference;;"IMG_0525;IMG_0526";Quartzite;Black;N2; ;Granular;Fine-grained;Waxy;None;None;No;Bands of quartz;;;Yes;20;36;;;720;Medium;
Vilhelmina_ref_9;"""Ayres Rock""";Vilhelmina;7211992;534055;;;;;;;Reference;;"IMG_0527;IMG_0528";Quartzite;Black;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;;Yes;58;67;;;3886;Large;
