sample_id;site_id;parish;sweref_x;sweref_y;inv.nr.;sub.nr.;fyndlåda;object;find_nr.;artefact;type;cross_section;photo_nr.;material;color;munsell_hue;munsell_value;texture_1;texture_2;luster;sediment;foliation;homogeneity;inclusion;%-inclusion;surface;patina;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm^2;sample_size;parish_level
59;;Umeå;753262;7095829;27179;21;;;;Dagger;Knife;;"IMG_9451;IMG_9452;IMG_9453;IMG_9453-54_stitch;IMG_9454;IMG_9455;IMG_9455-56_stitch;IMG_9456";Breccie quartz;Opaque;5Y; 6/4;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;10;;No;40;157;;;6280;Large;TRUE
60;;Vännäs;730889;7099679;2473;1;;;;Point preform;Preform;;"IMG_9457;IMG_9458";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;27;52;9;19;1404;Medium;TRUE
61;;Vännäs;730889;7099679;2473;2;;;;Point preform;Preform;;"IMG_9459;IMG_9460";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;30;85;12;25;2550;Large;TRUE
62;;Vännäs;730889;7099679;2473;3;;;;Point preform;Preform;;"IMG_9470;IMG_9471";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;26;100;9;26;2600;Large;TRUE
63;;Vännäs;730889;7099679;2473;4;;;;Point preform;Preform;;"IMG_9472;IMG_9473";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;10;;Yes;29;104;11;36;3016;Large;TRUE
64;;Vännäs;730889;7099679;2473;5;;;;Point preform;Preform;;"IMG_9474;IMG_9475";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;10;;Yes;27;109;10;30;2943;Large;TRUE
65;;Vännäs;730889;7099679;2473;6;;;;Point preform;Preform;;"IMG_9477;IMG_9478";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;30;101;10;30;3030;Large;TRUE
66;;Vännäs;730889;7099679;2473;7;;;;Point preform;Preform;;"IMG_9479;IMG_9480";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;Dark stain;Yes;29;90;10;24;2610;Large;TRUE
67;;Vännäs;730889;7099679;2473;8;;;;Point preform;Preform;;"IMG_9481;IMG_9482";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;29;96;9;27;2784;Large;TRUE
68;;Vännäs;730889;7099679;2473;9;;;;Point preform;Preform;;"IMG_9483;IMG_9484";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;29;92;9;23;2668;Large;TRUE
69;;Vännäs;730889;7099679;2473;10;;;;Point preform;Preform;;"IMG_9485;IMG_9486";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;32;72;12;26;2304;Large;TRUE
70;;Vännäs;730889;7099679;2473;11;;;;Point preform;Preform;;"IMG_9487;IMG_9488";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;27;93;10;26;2511;Large;TRUE
71;;Vännäs;730889;7099679;2473;12;;;;Point preform;Preform;;"IMG_9489;IMG_9490";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;30;98;11;31;2940;Large;TRUE
72;;Vännäs;730889;7099679;2473;13;;;;Point preform;Preform;;"IMG_9491;IMG_9492";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;32;93;11;32;2976;Large;TRUE
73;;Vännäs;730889;7099679;2473;14;;;;Point preform;Preform;;"IMG_9493;IMG_9494";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;37;116;11;46;4292;Large;TRUE
74;;Vännäs;730889;7099679;2473;15;;;;Point preform;Preform;;"IMG_9495;IMG_9496";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;50;;Yes;30;96;12;35;2880;Large;TRUE
75;;Vännäs;730889;7099679;2473;16;;;;Point preform;Preform;;"IMG_9497;IMG_9498";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;Possible bedding;None;No;Dark mineral inclusion;20;;Yes;30;82;10;23;2460;Large;TRUE
76;;Vännäs;730889;7099679;2473;17;;;;Point preform;Preform;;"IMG_9499;IMG_9500";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;Iron oxide;Yes;29;105;11;32;3045;Large;TRUE
77;;Vännäs;730889;7099679;2473;18;;;;Point preform;Preform;;"IMG_9501;IMG_9502";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;Iron oxide;Yes;30;120;10;40;3600;Large;TRUE
78;;Vännäs;730889;7099679;2473;19;;;;Point preform;Preform;;"IMG_9503;IMG_9506";Quartzite;Gray streaked with black;N2; ;Granular;Fine-grained;Bright vitreous;Possible bedding;None;No;Dark mineral inclusion;30;;No;25;117;9;29;2925;Large;TRUE
79;;Vännäs;730889;7099679;2473;20;;;;Point preform;Preform;;"IMG_9507;IMG_9508";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;26;56;10;13;1456;Medium;TRUE
80;;Vännäs;730889;7099679;2473;21;;;;Point preform;Preform;;"IMG_9509;IMG_9510";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;Yes;30;54;11;19;1620;Medium;TRUE
81;;Vännäs;730889;7099679;2473;22;;;;Point preform;Preform;;"IMG_9511;IMG_9512";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;30;93;10;28;2790;Large;TRUE
82;;Vännäs;730889;7099679;2473;23;;;;Point preform;Preform;;"IMG_9513;IMG_9514";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;32;53;11;23;1696;Medium;TRUE
83;;Vännäs;730889;7099679;2473;24;;;;Point preform;Preform;;"IMG_9515;IMG_9516";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;28;81;10;24;2268;Large;TRUE
84;;Vännäs;730889;7099679;2473;25;;;;Point preform;Preform;;"IMG_9517;IMG_9518";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;25;91;10;21;2275;Large;TRUE
85;;Vännäs;730889;7099679;2473;26;;;;Point preform;Preform;;"IMG_9519;IMG_9520";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;20;;Yes;32;94;11;34;3008;Large;TRUE
86;Dorotea 225;Dorotea;7175429;525341;2859;1;;;;Point preform;Preform;;"IMG_9522;IMG_9523";Quartzite;Gray streaked with black;7.5Y; 3/1;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;20;;No;23;35;7;5;805;Medium;
87;Dorotea 225;Dorotea;7175429;525341;2859;2;;;;Point preform;Preform;;"IMG_9524;IMG_9525";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;32;45;8;15;1440;Medium;
88;Dorotea 225;Dorotea;7175429;525341;2859;3;;;;Point preform;Preform;;"IMG_9526;IMG_9527";Quartzite;Dark gray;1Y; 3/1;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;28;38;8;12;1064;Medium;
89;Dorotea 229;Dorotea;7175796;524955;2860;3;;;;Point preform;Preform;;"IMG_9528;IMG_9529";Quartzite;Gray;7.5Y; 2/1;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;;;No;25;35;9;10;875;Medium;
90;Dorotea 229;Dorotea;7175796;524955;2860;4;;;;Point preform;Preform;;"IMG_9530;IMG_9531";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;Glue/resin;No;28;58;9;18;1624;Medium;
91;Dorotea 229;Dorotea;7175796;524955;2860;5;;;;Point preform;Preform;;"IMG_9532;IMG_9533";Quartzite;Gray;N2; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;26;63;8;14;1638;Medium;
92;Dorotea 304;Dorotea;7174756;522069;2863;2;;;;Point preform;Preform;;"IMG_9534;IMG_9535";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;36;61;15;35;2196;Large;
93;Dorotea 304;Dorotea;7174756;522069;2863;3;;;;Point preform;Preform;;"IMG_9536;IMG_9537";Quartzite;Gray;7.5Y; 6/1;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;;No;39;97;14;51;3783;Large;
94;Dorotea 304;Dorotea;7174756;522069;2863;4;;;;Point preform;Preform;;"IMG_9538;IMG_9539";Quartzite;Gray;5GY; 4/1;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;Red residue;Yes;25;70;19;38;1750;Medium;
95;Dorotea 304;Dorotea;7174756;522069;2863;5;;;;Point preform;Preform;;"IMG_9540;IMG_9541";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;;No;42;65;13;35;2730;Large;
96;Dorotea 304;Dorotea;7174756;522069;2863;6;;;;Point preform;Preform;;"IMG_9542;IMG_9543";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;34;45;14;22;1530;Medium;
97;Dorotea 118;Dorotea;7165907;521840;2872;11;;;;Point preform;Preform;;"IMG_9544;IMG_9545;IMG_9546";Quartzite;Gray;N5; ;Massive;Fine-grained;Bright vitreous;None;Possible foliation;Yes;;;Iron oxide;Yes;44;62;29;96;2728;Large;
98;Dorotea 118;Dorotea;7165907;521840;2873;11;;;;Spear point;Point;;"IMG_9547;IMG_9548";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;44;56;14;38;2464;Large;
99;;Dorotea;544071;7155262;2876;11;;;;Point;Point;;"IMG_9549;IMG_9550";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;15;45;;;675;Medium;TRUE
100;Dorotea 17;Dorotea;7131531;554728;2877;2;;;;Point;Point;;"IMG_9551;IMG_9552";Quartzite;Gray;N2; ;Massive;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;No;31;22;6;6;682;Medium;
101;Dorotea 17;Dorotea;7131531;554728;2877;8;;;;Point preform;Preform;;"IMG_9553;IMG_9554";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;30;50;8;12;1500;Medium;
102;Dorotea 214;Dorotea;7169499;533049;3725;7;;;;Arrow point;Point;;"IMG_9555;IMG_9556";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;Iron oxide;Yes;19;53;7;6;1007;Medium;
103;Dorotea 214;Dorotea;7169499;533049;3725;9;;;;Point preform;Preform;;"IMG_9557;IMG_9558";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;31;48;10;16;1488;Medium;
104;Dorotea 214;Dorotea;7169499;533049;3725;10;;;;Point preform;Preform;;"IMG_9559;IMG_9560";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;No;31;55;9;14;1705;Medium;
105;Dorotea 214;Dorotea;7169499;533049;3725;11;;;;Point;Point;;"IMG_9561;IMG_9562";Quartzite;Opaque;5Y; 9/1;Massive;Fine-grained;Waxy;None;None;Yes;;;;Yes;20;26;7;4;520;Small;
106;Dorotea 214;Dorotea;7169499;533049;3725;19;;;;Point preform;Preform;;"IMG_9563;IMG_9564";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;No;Quartz;;;No;45;92;24;88;4140;Large;
107;Dorotea 214;Dorotea;7169499;533049;3725;20;;;;Point preform;Preform;;"IMG_9565;IMG_9566";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;;;No;43;81;18;70;3483;Large;
108;Dorotea 214;Dorotea;7169499;533049;3725;21;;;;Point preform;Preform;;"IMG_9567;IMG_9568;IMG_9569";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;40;90;23;77;3600;Large;
109;Dorotea 302;Dorotea;7169794;531356;3728;7;;;;Point preform;Preform;;"IMG_9570;IMG_9571;IMG_9572";Quartzite;Gray;7.5Y; 2/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;22;78;12;20;1716;Medium;
110;Dorotea 214;Dorotea;7169499;533049;3725;22;;;;Point preform;Preform;;"IMG_9574;IMG_9575;IMG_9576";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;;;Yes;51;82;18;80;4182;Large;
111;Dorotea 214;Dorotea;7169499;533049;3725;25;;;;Point preform;Preform;;"IMG_9578;IMG_9579";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;;No;46;71;13;44;3266;Large;
112;Dorotea 302;Dorotea;7169794;531356;3728;6;;;;Point preform;Preform;;"IMG_9580;IMG_9581";Quartzite;Gray;7.5Y; 2/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;15;27;6;2;405;Small;
113;Dorotea 302;Dorotea;7169794;531356;3728;8;;;;Point;Point;;"IMG_9586;IMG_9588;IMG_9589;IMG_9591;IMG_9594";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;17;39;10;6;663;Medium;
114;Dorotea 226;Dorotea;7169945;531290;3730;5;;;;Point;Point;;"IMG_9595;IMG_9596";Quartzite;Light gray;N8; ;Granular;Medium-grained;Dull;None;None;Yes;;;;No;21;69;8;11;1449;Medium;
115;Dorotea 226;Dorotea;7169945;531290;3730;6;;;;Point;Point;;"IMG_9597;IMG_9598";Quartzite;Light gray;N8; ;Granular;Fine-grained;Dull;None;None;Yes;;;;No;13;38;6;4;494;Small;
116;Dorotea 226;Dorotea;7169945;531290;3730;7;;;;Point preform;Preform;;"IMG_9601;IMG_9602;IMG_9603";Quartzite;Dark gray;N2; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;;;No;30;41;8;9;1230;Medium;
117;;Dorotea;544071;7155262;3739;1;;;;Point;Point;;"IMG_9604;IMG_9605";Quartzite;Dark gray;N2; ;Granular;Fine-grained;Bright vitreous;None;None;No;Mineral grains;;Iron oxide;Yes;15;42;8;7;630;Medium;TRUE
118;Dorotea 215;Dorotea;7169138;533634;3731;2;;;;Point preform;Preform;;"IMG_9606;IMG_9609";Quartzite;Gray;N5; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;Yes;45;94;33;127;4230;Large;
119;;Dorotea;544071;7155262;3732;a3;;;;Spear point;Point;;"IMG_9611;IMG_9612";Quartzite;Gray;N5; ;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;;No;28;54;11;18;1512;Medium;TRUE
120;;Dorotea;544071;7155262;3735;3;;;;Spear point fragment;Point fragment;;"IMG_9614;IMG_9615";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;No;Mineral grains;;Dirt;Yes;33;49;10;17;1617;Medium;TRUE
121;;Dorotea;544071;7155262;3739;2;;;;Preform;Preform;;"IMG_9616;IMG_9617;IMG_9619";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;No;Quartz grains;;;No;23;38;9;10;874;Medium;TRUE
122;Dorotea 143;Dorotea;7135759;553501;17944;8;;;;Point preform;Preform;;"IMG_9620;IMG_9621";Quartzite;Gray;2.5PB; 5/1;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;Iron oxide;Yes;42;87;23;74;3654;Large;
123;Dorotea 143;Dorotea;7135759;553501;17944;9;;;;Point preform;Preform;;"IMG_9623;IMG_9624";Quartzite;Gray;7.5Y; 3/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;40;77;18;46;3080;Large;
124;Dorotea 143;Dorotea;7135759;553501;17944;18;;;;Point preform;Preform;;"IMG_9625;IMG_9626";Quartzite;Dark gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;No;23;54;8;16;1242;Medium;
125;Dorotea 143;Dorotea;7135759;553501;17944;45;;;;Point;Point;;"IMG_9627;IMG_9628";Quartz;Opaque;2.5Y; 9/1;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;;;No;17;45;6;4;765;Medium;
126;Dorotea 84;Dorotea;7138940;553416;17945;9;;;;Point preform;Preform;;"IMG_9629;IMG_9630";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;41;53;11;29;2173;Large;
127;;Dorotea;544071;7155262;17945;26;;;;Point;Point;;"IMG_9631;IMG_9632";Quartzite;Gray streaked with white;N2; ;Massive;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;Dirt?;No;13;23;4;;299;Small;TRUE
128;;Dorotea;544071;7155262;17945;31;;;;Point;Point;;"IMG_9633;IMG_9634";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;No;Bands of quartz;;;No;14;42;5;7;588;Small;TRUE
129;;Dorotea;544071;7155262;17945;36;;;;Point;Point;;"IMG_9635;IMG_9636";Quartzite;Dark yellow;2.5Y; 6/3;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;Yes;18;27;5;5;486;Small;TRUE
130;Dorotea 84;Dorotea;7138940;553416;17945;43;;;;Point;Point;;"IMG_9637;IMG_9638";Quartzite;Light gray;1Y; 5/2;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral grains;;;Yes;21;24;7;5;504;Small;
131;Dorotea 84;Dorotea;7138940;553416;17945;53;;;;Point;Point;;"IMG_9639;IMG_9640";Quartzite;Opaque;5Y; 6/2;Granular;Fine-grained;Waxy;None;Possible foliation;No;;;;Yes;21;44;9;7;924;Medium;
132;Dorotea 84;Dorotea;7138940;553416;17945;47;;;;Point;Point;;"IMG_9641;IMG_9642";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;Yes;16;20;6;3;320;Small;
133;Dorotea 84;Dorotea;7138940;553416;17945;48;;;;Point preform;Preform;;"IMG_9643;IMG_9644";Quartzite;Gray;5Y; 2/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;Dirt;Yes;48;115;26;135;5520;Large;
134;Dorotea 84;Dorotea;7138940;553416;17945;65;;;;Point;Point;;"IMG_9645;IMG_9646";Quartzite;Opaque;5Y; 7/1;Massive;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;10;;No;18;27;6;4;486;Small;
135;Dorotea 84;Dorotea;7138940;553416;17945;66;;;;Spear point;Point;;"IMG_9647;IMG_9648;IMG_9649";Quartzite;Opaque;5Y; 7/1;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;29;51;10;22;1479;Medium;
136;Dorotea 84;Dorotea;7138940;553416;17945;68;;;;Arrow point;Point;;"IMG_9650;IMG_9652";Quartzite;White;5Y; 8/1;Granular;Fine-grained;Dull;None;None;No;Bands of quartz;;;No;15;24;5;2;360;Small;
137;Dorotea 84;Dorotea;7138940;553416;17945;70;;;;Point;Point;;"IMG_9653;IMG_9654";Quartzite;Dark yellow;2.5Y; 4/3;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;12;18;4;;216;Small;
138;Dorotea 84;Dorotea;7138940;553416;17945;73;;;;Point preform;Preform;;"IMG_9655;IMG_9656";Quartzite;Gray;N4; ;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;;;No;30;35;10;12;1050;Medium;
139;;Dorotea;544071;7155262;2860;1;;;;Point preform;Preform;;"IMG_9657;IMG_9658";Quartzite;Black;N3; ;Granular;Medium-grained;Waxy;Possible bedding;None;No;Dark mineral inclusion;;;No;47;86;15;63;4042;Large;TRUE
140;Dorotea 229;Dorotea;7175796;524955;2860;10;;;;Point preform;Preform;;"IMG_9659;IMG_9660";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;;;No;26;44;26;9;1144;Medium;
141;Dorotea 229;Dorotea;7175796;524955;2860;11;;;;Point preform;Preform;;"IMG_9661;IMG_9662";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;;;No;35;44;12;20;1540;Medium;
142;Dorotea 229;Dorotea;7175796;524955;2860;12;;;;Point preform;Preform;;"IMG_9663;IMG_9664";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;Possible bedding;None;No;Dark mineral inclusion;;;No;27;45;9;10;1215;Medium;
143;Dorotea 507;Dorotea;7150720;545284;31990;;;;;Spear point;Point;;"IMG_9665;IMG_9666";Quartzite;White;7.5Y; 8/2;Massive;Fine-grained;Bright vitreous;None;None;No;Iron;30;Iron oxide and red (modern?) discoloration;Yes;43;143;;;6149;Large;
144;Dorotea 229;Dorotea;7175796;524955;2860;13;;;;Point preform;Preform;;"IMG_9667;IMG_9668";Quartzite;Gray;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;20;20;8;30;400;Small;
145;Dorotea 628;Dorotea;7138721;553788;31991;;;;;Point;Point;;"IMG_9669;IMG_9670";Quartzite;Brown streaked with black;2.5Y; 4/3;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;30;;No;35;98;;;3430;Large;
146;Dorotea 229;Dorotea;7175796;524955;3713;1;;;;Point preform;Preform;;"IMG_9671;IMG_9672";Quartzite;White;5Y; 9/1;Granular;Medium-grained;Dull;None;None;No;Quartz;;;No;26;54;10;11;1404;Medium;
147;Dorotea 229;Dorotea;7175796;524955;3713;3;;;;Point preform;Preform;;"IMG_9673;IMG_9674";Quartzite;Gray;N6; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;10;;No;41;78;14;35;3198;Large;
148;Dorotea 304;Dorotea;7174756;522069;3715;2;;;;Point;Point;;"IMG_9675;IMG_9676";Quartzite;Brown;2.5Y; 3/2;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;12;15;5;2;180;Small;
149;Dorotea 304;Dorotea;7174756;522069;3715;3;;;;Point preform;Preform;;"IMG_9677;IMG_9678";Quartzite;Gray;2.5Y; 6/1;Granular;Fine-grained;Waxy;None;None;No;Dark mineral inclusion;50;;No;25;16;11;6;400;Small;
150;Dorotea 304;Dorotea;7174756;522069;3715;5;;;;Point preform;Preform;;"IMG_9679;IMG_9680";Quartzite;Gray;N3; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;37;30;13;15;1110;Medium;
151;Dorotea 304;Dorotea;7174756;522069;3715;6;;;;Spear point;Point;;"IMG_9681;IMG_9682";Quartzite;Gray;N3; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;10;;No;34;33;11;12;1122;Medium;
152;;Åsele;617069;7119841;2479;2;;;;Point preform;Preform;;"IMG_9683;IMG_9684";Quartzite;White streaked with black;N3; ;Granular;Fine-grained;Dull;None;None;No;Dark mineral inclusion;60;Iron oxide;Yes;44;76;19;63;3344;Large;TRUE
153;Åsele 182;Åsele;7120412;600842;2482;15;;;;Point preform;Preform;;"IMG_9685;IMG_9686";Quartzite;Brown;5Y; 4/3;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;;;No;42;91;25;125;3822;Large;
154;;Åsele;617069;7119841;2478;2;;;;Point preform;Preform;;"IMG_9687;IMG_9688";Quartzite;White;5Y; 9/1;Granular;Fine-grained;Dull;None;None;No;Dark mineral inclusion;40;;Yes;40;80;13;42;3200;Large;TRUE
155;;Åsele;617069;7119841;4514;1;;;;Point preform;Preform;;"IMG_9689;IMG_9690";Quartzite;Opaque;2.5Y; 8/1;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;18;40;6;4;720;Medium;TRUE
156;;Åsele;617069;7119841;4514;2;;;;Point preform;Preform;;"IMG_9691;IMG_9692";Quartzite;Gray;5Y; 6/1;Granular;Fine-grained;Dull;None;None;No;Dark mineral inclusion;50;(Modern) white color and resin;Yes;30;33;10;13;990;Medium;TRUE
157;;Åsele;617069;7119841;4514;3;;;;Point preform;Preform;;"IMG_9693;IMG_9694";Quartzite;Brown;2.5Y; 3/2;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;3;;No;29;42;9;13;1218;Medium;TRUE
158;;Åsele;617069;7119841;4514;4;;;;Point;Point;;"IMG_9695;IMG_9696";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;20;47;6;5;940;Medium;TRUE
159;;Åsele;617069;7119841;4514;5;;;;Point preform;Preform;;"IMG_9697;IMG_9698";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;25;50;7;11;1250;Medium;TRUE
160;;Åsele;617069;7119841;4514;6;;;;Point preform;Preform;;"IMG_9699;IMG_9700";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;Dirt;Yes;25;51;8;12;1275;Medium;TRUE
161;;Åsele;617069;7119841;4514;7;;;;Point preform;Preform;;"IMG_9701;IMG_9702";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;30;23;7;7;690;Medium;TRUE
162;;Åsele;617069;7119841;4514;8;;;;Point preform;Preform;;"IMG_9703;IMG_9704";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;No;17;42;6;5;714;Medium;TRUE
163;;Åsele;617069;7119841;4514;9;;;;Point preform;Preform;;"IMG_9705;IMG_9706";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;25;31;7;6;775;Medium;TRUE
164;;Åsele;617069;7119841;4514;10;;;;Point preform;Preform;;"IMG_9707;IMG_9708";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;18;28;6;3;504;Small;TRUE
165;;Åsele;617069;7119841;7975;1 (a);;;;Point;Point;;"IMG_9709;IMG_9710";Quartzite;Black;N1; ;Granular;Fine-grained;Dull;None;None;Yes;;;;No;15;17;4;;255;Small;TRUE
166;;Åsele;617069;7119841;7975;15 (o);;;;Point preform;Preform;;"IMG_9711;IMG_9712";Quartzite;Gray;N4; ;Granular;Fine-grained;Waxy;None;None;No;Dark mineral inclusion;;;Yes;21;37;7;6;777;Medium;TRUE
167;Åsele 393;Åsele;7117732;614540;17938;14;;;;Point preform;Preform;;"IMG_9713;IMG_9714";Quartzite;Black;N1; ;Granular;Fine-grained;Dull;None;None;Yes;;;;No;31;33;10;11;1023;Medium;
168;Åsele 129;Åsele;7116373;615774;21592;1;;;;Point preform;Preform;;"IMG_9715;IMG_9716";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;28;41;11;12;1148;Medium;
169;Åsele 129;Åsele;7116373;615774;21592;6;;;;Point preform;Preform;;"IMG_9717;IMG_9718";Quartzite;Gray;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;23;19;17;3;437;Small;
170;Åsele 129;Åsele;7116373;615774;21592;7;;;;Point preform;Preform;;"IMG_9719;IMG_9720";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;Iron oxide;Yes;14;18;6;2;252;Small;
