sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g;area_mm2;sample_size;river
312;Tärna 549;7324575;493441;Tärna;Translucent;Light;5Y; 9/1;Brecciated quartz;Arrow point;Point;Excavation;Yes;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;19;30;5;2;570;Small;Umeälven
313;Tärna 549;7324575;493441;Tärna;Opaque;Light;2.5Y; 9/1;Brecciated quartz;Arrow point;Point;Excavation;Yes;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;28;50;8;14;1400;Medium;Umeälven
314;;7285986;509493;Tärna;Opaque;Light;2.5Y; 9/1;Brecciated quartz;Point fragment;Point fragment;Unknown;No;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;26;53;;;1378;Medium;Umeälven
315;Tärna 594;7327983;491179;Tärna;Opaque;Light;5Y; 8/2;Brecciated quartz;Preform;Preform;Survey;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;31;103;25;72;3193;Large;Umeälven
316;Tärna 594;7327983;491179;Tärna;Opaque;Light;2.5Y; 9/1;Brecciated quartz;Point preform;Preform;Survey;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;41;84;23;63;3444;Large;Umeälven
317;;7285986;509493;Tärna;Opaque;Light;2.5Y; 9/1;Brecciated quartzite;Point preform;Preform;Survey;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;42;113;;;4746;Large;Umeälven
318;Tärna 89;7290912;508697;Tärna;Translucent;Dark;2.5Y; 4/3;Quartzite;Point preform;Preform;Stray find;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;22;47;;;1034;Medium;Umeälven
319;;7285986;509493;Tärna;Opaque;Light;2.5Y; 9/1;Brecciated quartzite;Point preform;Preform;Survey;No;Granular;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral inclusion;29;48;;;1392;Medium;Umeälven
320;;7285986;509493;Tärna;Opaque;Light;2.5Y; 9/1;Quartzite;Preform;Preform;Unknown;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;21;61;;;1281;Medium;Umeälven
321;;7285986;509493;Tärna;Gray;Dark;N2; ;Quartzite;Arrow point;Point;Stray find;Yes;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;No;Bands of quartz;16;50;;;800;Medium;Umeälven
322;Vilhelmina 977;7208869;567544;Vilhelmina;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;18;109;7;14;1962;Medium;Vojmån
323;Vilhelmina 977;7208869;567544;Vilhelmina;Gray streaked with black;Light;5Y; 6/2;Quartzite;Arrow point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral inclusion;19;55;5;6;1045;Medium;Vojmån
324;Vilhelmina 977;7208869;567544;Vilhelmina;Gray streaked with black;Light;5Y; 6/2;Quartzite;Arrow point preform;Preform;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral inclusion;24;61;8;13;1464;Medium;Vojmån
325;Vilhelmina 977;7208869;567544;Vilhelmina;Light gray streaked with white;White;N9; ;Quartzite;Preform;Preform;Excavation;Yes;Granular;Fine-grained;Dull;None;None;Fine;No;White discoloration;37;55;16;33;2035;Large;Ångermanälven
326;Vilhelmina 977;7208869;567544;Vilhelmina;White;White;N9; ;Quartzite;Arrow point;Point;Excavation;No;Granular;Fine-grained;Dull;None;None;Fine;No;Bands of quartz;15;37;6;4;555;Small;Ångermanälven
327;Vilhelmina 977;7208869;567544;Vilhelmina;Light gray streaked with white;White;N9; ;Quartzite;Arrow point;Point;Excavation;No;Granular;Fine-grained;Dull;None;None;Fine;No;White discoloration;14;35;4;3;490;Small;Vojmån
328;Vilhelmina 977;7208869;567544;Vilhelmina;White;White;N9; ;Quartzite;Arrow point preform;Preform;Excavation;No;Granular;Fine-grained;Dull;None;None;Conchoidal;No;White discoloration;15;46;7;4;690;Medium;Ångermanälven
