sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g;area_mm2;sample_size;river
397;Vilhelmina 450;7141815;589644;Vilhelmina;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Bands of quartz;22;28;6;4;616;Medium;Ångermanälven
398;;7201665;548201;Vilhelmina;Opaque;Light;7.5Y; 8/1;Quartz;Point fragment;Point fragment;Unknown;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;30;27;;;810;Medium;Ångermanälven
399;;7201665;548201;Vilhelmina;Gray;Dark;7.5Y; 5/1;Quartzite;Arrow point fragment;Point fragment;Unknown;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;16;28;;;448;Small;Ångermanälven
400;Vilhelmina 109;7205154;517514;Vilhelmina;Opaque;Light;2.5Y; 9/1;Quartzite;Point preform;Preform;Stray find;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;28;54;12;16;1512;Medium;Ångermanälven
401;Vilhelmina 444;7144672;586277;Vilhelmina;Gray;Dark;5Y; 4/1;Quartzite;Point preform;Preform;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;18;28;8;6;504;Small;Ångermanälven
402;Vilhelmina 444;7144672;586277;Vilhelmina;Light gray;Light;N6; ;Quartzite;Point preform;Preform;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;31;54;9;15;1674;Medium;Ångermanälven
403;Vilhelmina 439;7143695;585942;Vilhelmina;Black;Dark;N1; ;Quartzite;Point fragment;Point fragment;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;14;34;4;2;476;Small;Ångermanälven
404;Vilhelmina 450;7141815;589644;Vilhelmina;Black;Dark;N1; ;Quartzite;Point preform;Preform;Excavation;Yes;Massive;Medium-grained;Waxy;None;None;Conchoidal;Yes;;44;41;12;23;1804;Medium;Ångermanälven
405;Vilhelmina 216;7173355;561753;Vilhelmina;Black;Dark;N4; ;Quartzite;Point preform;Preform;Survey;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;23;54;26;19;1242;Medium;Ångermanälven
406;Vilhelmina 245;7174307;567172;Vilhelmina;Gray streaked with black;Dark;5Y; 4/1;Quartzite;Point preform;Preform;Survey;No;Granular;Medium-grained;Waxy;None;None;Fine;No;Bands of dark mineral;28;48;26;16,4;1344;Medium;Ångermanälven
407;Vilhelmina 411;7154659;584594;Vilhelmina;Opaque;Light;2.5Y; 9/1;Quartzite;Point fragment;Point fragment;Survey;No;Granular;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;35,3;76,3;26;24;2693,39;Large;Ångermanälven
408;Vilhelmina 769;7161707;581627;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point;Point;Survey;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;8,9;32;26;1,8;284,8;Small;Ångermanälven
409;Vilhelmina 791;7196177;576025;Vilhelmina;Black;Dark;N1; ;Quartzite;Point;Point;Survey;No;Massive;Medium-grained;Waxy;None;None;Fine;Yes;;18;41,3;26;7,9;743,4;Medium;Vojmån
410;Vilhelmina 1069;7218085;508318;Vilhelmina;Black;Dark;N1; ;Quartzite;Point fragment;Point fragment;Survey;No;Granular;Medium-grained;Waxy;None;None;Fine;No;Bands of quartz;27,5;50,8;26;17;1397;Medium;Ångermanälven
411;Vilhelmina 1124;7213074;502865;Vilhelmina;Black;Dark;N1; ;Quartzite;Point;Point;Survey;No;Granular;Medium-grained;Dull;None;None;Fine;Yes;;25,4;58;26;17,9;1473,2;Medium;Ångermanälven
412;;;;;White;White;N9; ;Quartzite;;;Unknown;No;Granular;Fine-grained;Dull;None;None;Fine;Yes;;22;65;;;1430;Medium;
413;Vilhelmina 637;7202213;540640;Vilhelmina;Black;Dark;N1; ;Quartzite;Point;Point;Survey;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;30,6;63,5;26;25,5;1943,1;Medium;Ångermanälven
414;Vilhelmina 643;7196664;540871;Vilhelmina;Light gray streaked with black;Dark;N5; ;Quartzite;Point preform;Preform;Survey;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Bands of dark mineral;38;68;;;2584;Large;Ångermanälven
415;Vilhelmina 643;7196664;540871;Vilhelmina;Black;Dark;N3; ;Quartzite;Point preform;Preform;Survey;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;34;74;;;2516;Large;Ångermanälven
416;Vilhelmina 643;7196664;540871;Vilhelmina;Black;Dark;N1; ;Quartzite;Point preform;Preform;Survey;Yes;Granular;Medium-grained;Waxy;None;None;Fine;Yes;;24;42;;;1008;Medium;Ångermanälven
417;Vilhelmina 1127;7214358;499190;Vilhelmina;Black;Dark;N1; ;Quartzite;Point preform;Preform;Survey;No;Granular;Medium-grained;Dull;None;None;Conchoidal;Yes;;30,5;60;26;28,6;1830;Medium;Ångermanälven
418;;7201665;548201;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point;Point;Unknown;Yes;Granular;Fine-grained;Dull;None;None;Fine;No;Bands of quartz;19;60;;;1140;Medium;Ångermanälven
419;;7201665;548201;Vilhelmina;Brown streaked with black;Dark;2.5Y; 4/4;Quartzite;Point preform;Preform;Unknown;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Bands of dark mineral;22;58;;;1276;Medium;Ångermanälven
420;;7201665;548201;Vilhelmina;Light gray streaked with black;Light;N8; ;Quartzite;Arrow point;Point;Unknown;No;Granular;Medium-grained;Waxy;None;None;Fine;No;Dark mineral inclusion;29;84;;;2436;Large;Ångermanälven
421;;7201665;548201;Vilhelmina;White;White;N9; ;Quartzite;Arrow point fragment;Point fragment;Unknown;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;16;34;;;544;Small;Ångermanälven
422;;7201665;548201;Vilhelmina;Opaque;Light;2.5Y; 8/1;Quartzite;Arrow point;Point;Unknown;No;Granular;Fine-grained;Waxy;None;None;Fine;No;Dark mineral inclusion;17;47;;;799;Medium;Ångermanälven
423;Åsele 273;7102728;629862;Åsele;Black;Dark;N1; ;Quartzite;Point preform;Preform;Survey;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Mineral grains;33;70;;;2310;Large;Ångermanälven
424;Åsele 182;7120412;600842;Åsele;Black;Dark;N1; ;Quartzite;Arrow point;Point;Survey;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Bands of quarz;21;59;;;1239;Medium;Ångermanälven
425;Åsele 182;7120412;600842;Åsele;Black;Dark;N1; ;Quartzite;Point preform;Preform;Survey;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;30;64;;;1920;Medium;Ångermanälven
426;Åsele 56;7118032;606258;Åsele;Gray streaked with black;Dark;5Y; 5/2;Quartzite;Point preform;Preform;Survey;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Bands of dark mineral;24;62;;;1488;Medium;Ångermanälven
427;Åsele 56;7118032;606258;Åsele;Gray;Light;5Y; 6/1;Quartzite;Point preform;Preform;Survey;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Bands of quartz;30;55;;;1650;Medium;Ångermanälven
428;Åsele 188;7119941;601259;Åsele;Black;Dark;N1; ;Quartzite;Arrow point;Point;Survey;Yes;Granular;Fine-grained;Waxy;None;None;Fine;No;Quartz;22;56;;;1232;Medium;Ångermanälven
429;Vilhelmina 419;7149834;586655;Vilhelmina;Light gray;Light;5Y; 7/2;Quartzite;Point preform;Preform;Excavation;No;Granular;Medium-grained;Waxy;None;None;Fine;No;Bands of quartz;36;101;10;40;3636;Large;Ångermanälven
430;Vilhelmina 335;7147441;586629;Vilhelmina;Black;Dark;N1; ;Quartzite;Point preform;Preform;Survey;No;Massive;Fine-grained;Bright vitreous;None;Possible foliation;Conchoidal;Yes;;26;42;13;12;1092;Medium;Ångermanälven
431;Vilhelmina 112;7201159;511621;Vilhelmina;Opaque;Light;2.5Y; 9/1;Quartzite;Arrow point fragment;Point fragment;Stray find;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;33;42;7;9;1386;Medium;Ångermanälven
432;Vilhelmina 399;7159767;582529;Vilhelmina;Black;Dark;N1; ;Quartzite;Point fragment;Point fragment;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;14;17;6;2;238;Small;Ångermanälven
433;Lycksele 301;7168150;676423;Lycksele;Beige;Light;2.5Y; 6/6;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Red/pinkish streaks;37;30;;;1110;Medium;Umeälven
434;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;2.5Y; 6/3;Quartzite;Point;Point;Excavation;Yes;Massive;Fine-grained;Dull;None;Foliated;Fine;Yes;;15,9;26,7;;2,9;424,53;Small;Umeälven
435;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;29,3;;2,5;439,5;Small;Umeälven
436;Lycksele 301;7168150;676423;Lycksele;Dark gray;Dark;N3; ;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;18,5;37,7;;4,1;697,45;Medium;Umeälven
437;Lycksele 301;7168150;676423;Lycksele;Brown;Dark;7.5YR; 2/2;Slate;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;13;14;;;182;Small;Umeälven
438;Lycksele 301;7168150;676423;Lycksele;Translucent;Colourless;; ;Quartz;Flake;Flake;Excavation;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;13;30;;;390;Small;Umeälven
439;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;7.5Y; 3/1;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;17;68;;9,9;1156;Medium;Umeälven
440;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N2; ;Quartzite;Point;Point;Excavation;Yes;Massive;Medium-grained;Dull;None;None;Fine;Yes;;18,3;47,1;;5,9;861,93;Medium;Umeälven
441;Lycksele 301;7168150;676423;Lycksele;Gray streaked with black;Dark;7.5Y; 2/1;Quartzite;Point;Point;Excavation;Yes;Granular;Medium-grained;Waxy;None;None;Fine;No;Bands of dark mineral;20,8;35;;5,1;728;Medium;Umeälven
442;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Dull;None;None;Conchoidal;Yes;;16;63;;;1008;Medium;Umeälven
443;Lycksele 301;7168150;676423;Lycksele;White;Light;5Y; 8/1;Quartzite;Flake;Flake;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;17;16;;;272;Small;Umeälven
444;Lycksele 301;7168150;676423;Lycksele;Gray streaked with black;Dark;N2; ;Quartzite;Point;Point;Excavation;Yes;Massive;Fine-grained;Dull;None;Foliated;Fine;No;Bands of dark mineral;16,8;35,6;;3,4;598,08;Small;Umeälven
445;Lycksele 301;7168150;676423;Lycksele;Black streaked with white;Dark;N3; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Dull;None;None;Fine;No;;20,1;19,7;;2,1;395,97;Small;Umeälven
446;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;7.5Y; 7/2;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;20,4;38,9;;5,6;793,56;Medium;Umeälven
447;Lycksele 301;7168150;676423;Lycksele;Dark gray;Dark;N3; ;Igneous rock?;Raw material;Raw material;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;29;39;;;1131;Medium;Umeälven
448;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Igneous rock?;Point;Point;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;15;56;;;840;Medium;Umeälven
449;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Flake;Flake;Excavation;Yes;Massive;Fine-grained;Waxy;None;None;Conchoidal;Yes;;26;59;;;1534;Medium;Umeälven
450;Lycksele 301;7168150;676423;Lycksele;Dark gray streaked with black;Dark;N2; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;No;Bands of dark mineral;17,7;51,6;;5,2;913,32;Medium;Umeälven
451;Lycksele 301;7168150;676423;Lycksele;Dark gray;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;17;30,8;;3,5;523,6;Small;Umeälven
452;Lycksele 301;7168150;676423;Lycksele;Translucent;Light;2.5Y; 9/1;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;14,2;19;;1,6;269,8;Small;Umeälven
453;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;2.5Y; 7/2;Quartz;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;20,2;35,9;;5,5;725,18;Medium;Umeälven
454;Lycksele 301;7168150;676423;Lycksele;Translucent;Colourless;; ;Quartz;Flake;Flake;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;13;17;;;221;Small;Umeälven
455;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;5Y; 8/2;Quartzite;Point;Point;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15,4;28,4;;3,2;437,36;Small;Umeälven
456;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Knife?;Knife?;Excavation;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;29;71,8;;20,7;2082,2;Large;Umeälven
457;Lycksele 301;7168150;676423;Lycksele;White;Light;5Y; 7/2;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;20,5;32,5;;5,6;666,25;Medium;Umeälven
458;Lycksele 301;7168150;676423;Lycksele;Gray streaked with white;Dark;N3; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;;15,1;46,3;;4,4;699,13;Medium;Umeälven
459;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;;18,2;33;;3,7;600,6;Medium;Umeälven
460;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;;16,3;31;;2,8;505,3;Small;Umeälven
461;Lycksele 301;7168150;676423;Lycksele;White;White;N9; ;Quartzite;Flake;Flake;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;16,6;29,3;;3,8;486,38;Small;Umeälven
462;Lycksele 301;7168150;676423;Lycksele;Dark gray streaked with black;Dark;N2; ;Quartzite;Point;Point;Excavation;Yes;Massive;Medium-grained;Waxy;None;None;Fine;No;Bands of dark mineral;16,6;38,6;;3,6;640,76;Medium;Umeälven
463;Lycksele 301;7168150;676423;Lycksele;Opaque;White;N9; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;15,8;45;;4,6;711;Medium;Umeälven
464;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N2; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;No;Bands of dark mineral;20;30,3;;2,5;606;Medium;Umeälven
465;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;N8; ;Quartzite;Point;Point;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;20,6;45;;9,8;927;Medium;Umeälven
466;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N2; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;16,8;40;;4,9;672;Medium;Umeälven
467;Lycksele 301;7168150;676423;Lycksele;White;Light;N8; ;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Dull;None;None;Fine;Yes;;18;27;;;486;Small;Umeälven
468;Lycksele 301;7168150;676423;Lycksele;Opaque;Light;2.5Y; 9/1;Quartzite;Flake;Flake;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Irregular;Yes;;15;28;;;420;Small;Umeälven
469;Lycksele 301;7168150;676423;Lycksele;Opaque;Colourless;; ;Quartz;Point;Point;Excavation;Yes;Massive;Fine-grained;Dull;None;None;Fine;Yes;Bands of quartz;15,2;25,4;;2,2;386,08;Small;Umeälven
470;Lycksele 301;7168150;676423;Lycksele;White streaked with gray;White;N9; ;Quartzite;Flake;Flake;Excavation;No;Granular;Fine-grained;Waxy;None;None;Smooth;No;Bands of dark mineral;23;40;;;920;Medium;Umeälven
471;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N4; ;Quartzite;Point;Point;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;15,8;37,4;;4,9;590,92;Small;Umeälven
472;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Slate;Flake;Flake;Excavation;Yes;Massive;Fine-grained;Waxy;None;None;Smooth;Yes;;30;44;;;1320;Medium;Umeälven
473;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;38;70;;;2660;Large;Umeälven
474;Lycksele 301;7168150;676423;Lycksele;White;White;N9; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;23;49;;;1127;Medium;Umeälven
475;Lycksele 301;7168150;676423;Lycksele;White;White;N9; ;Quartz;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;16;28;;;448;Small;Umeälven
476;Lycksele 301;7168150;676423;Lycksele;Dark gray;Dark;N2; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;14;35;;;490;Small;Umeälven
477;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N3; ;Quartzite;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;17,5;39,9;;5,6;698,25;Medium;Umeälven
478;Lycksele 301;7168150;676423;Lycksele;Gray;Dark;N3; ;Quartzite;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;18;18;;;324;Small;Umeälven
479;Lycksele 301;7168150;676423;Lycksele;Light gray;Light;7.5Y; 7/1;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Dull;None;None;Fine;Yes;;17;21,8;;2,3;370,6;Small;Umeälven
480;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;20;24;;;480;Small;Umeälven
481;Lycksele 301;7168150;676423;Lycksele;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;16,7;50,3;;5,3;840,01;Medium;Umeälven
482;Lycksele 301;7168150;676423;Lycksele;Black streaked with white;Dark;N1; ;Quartzite;Point;Point;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Possible foliation;Fine;No;;19,6;38,3;;3,9;750,68;Medium;Umeälven
483;Lycksele 301;7168150;676423;Lycksele;Translucent;Colourless;; ;Brecciated quartz;Flake;Flake;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;10;10;;;100;Small;Umeälven
491;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Foliated;Conchoidal;Yes;;67;99;23;158;6633;Large;Skellefteälven
492;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;Foliated;Conchoidal;Yes;;49;102;20;86;4998;Large;Skellefteälven
493;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;Point preform;Preform;Excavation;Yes;Massive;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;74;122;27;192;9028;Large;Skellefteälven
494;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;85;109;38;256;9265;Large;Skellefteälven
495;Skellefteå socken 123;7196682;755062;Skellefteå;Black;Dark;N1; ;Quartzite;Point preform;Preform;Excavation;Yes;Massive;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;59;68;24;84;4012;Large;Skellefteälven
496;Raä 252:1;7180835;787001;Bureå;Opaque streaked with black;Light;5Y; 7/1;Quartz;Point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;Foliated;Fine;No;Dark mineral inclusion;14;21;8;;294;Small;Skellefteälven
497;Raä 252:1;7180835;787001;Bureå;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Granular;Medium-grained;Waxy;None;Foliated;Conchoidal;Yes;;26;53;11;;1378;Medium;Skellefteälven
498;Raä 252:1;7180835;787001;Bureå;Opaque;Light;2.5Y; 9/1;Quartz;Point;Point;Excavation;No;Massive;Fine-grained;Waxy;Possible bedding;Possible foliation;Fine;Yes;;16;31;6;;496;Small;Skellefteälven
499;Raä 252:1;7180835;787001;Bureå;Black;Dark;N1; ;Quartzite;Point;Point;Excavation;No;Massive;Medium-grained;Dull;None;None;Conchoidal;No;Dark mineral inclusion;29;60;12;;1740;Medium;Skellefteälven
500;Raä 252:1;7180835;787001;Bureå;Dark gray streaked with black;Dark;N1; ;Quartz;Point;Point;Excavation;No;Massive;Fine-grained;Dull;None;None;Fine;No;Either quartz bands in dark quartzite or dark inclusion in quartz;19;39;5;;741;Medium;Skellefteälven
501;Norsjö 99:2;7220374;705471;Norsjö;Opaque;White;N9; ;Felsitic porphyric quartz;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;18;48;11;;864;Medium;Skellefteälven
502;Norsjö 99:2;7220374;705471;Norsjö;Gray;Dark;N3; ;Felsitic porphyric quartz;Point preform;Preform;Excavation;No;Massive;Fine-grained;Waxy;None;None;Fine;No;White streaks;16;55;7;;880;Medium;Skellefteälven
503;Norsjö 99:2;7220374;705471;Norsjö;Gray;Dark;N3; ;Felsitic porphyric quartz;Point preform;Preform;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;17;34;5;;578;Small;Skellefteälven
504;Norsjö 99:2;7220374;705471;Norsjö;Light gray;Light;7.5Y; 6/1;Felsitic porphyric quartz;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;37;73;10;;2701;Large;Skellefteälven
505;Norsjö 99:2;7220374;705471;Norsjö;White;White;N9; ;Quartz;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;25;6;;375;Small;Skellefteälven
Calahan ref 1;;;;;Light gray;Light;7.5Y;;Quartzite;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;43;43;;;1849;Medium;
Calahan ref 2;;;;;Light gray;Light;7.5Y;;Quartzite;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;27;30;;;810;Medium;
Calahan ref 3;;;;;Light gray;Light;7.5Y;;Quartzite;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;77;136;;;10472;Large;
Calahan ref 4;;;;;Black;Dark;N1;;Quartzite;;Reference;;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;61;58;;;3538;Large;
Calahan ref 5;;;;;Black;Dark;N1;;Quartzite;;Reference;;No;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;50;62;;;3100;Large;
Calahan ref 6;;;;;Black;Dark;N1;;Quartzite;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;44;72;;;3168;Large;
Faagelberget_1;L1939:6460/L1936:1445;7185576;790441;Byske;Pink;Light;2.5YR; 7/3;Feldspar;;Reference;;Yes;Massive;Massive;Bright vitreous;None;None;Smooth;Yes;;34;43;;;1462;Medium;Skellefteälven
Faagelberget_2;L1939:6460/L1936:1445;7185576;790441;Byske;White;Light;N8; ;Quartz;;Reference;;Yes;Massive;Massive;Dull;None;None;Smooth;No;Feldspar inclusion;28;59;;;1652;Medium;Skellefteälven
Faagelberget_3;L1939:6460/L1936:1445;7185576;790441;Byske;Pinkish white;Light;2.5YR; 9/2;Quartz;;Reference;;Yes;Granular;Massive;Waxy;None;None;Smooth;No;Likely feldspar inclusion;39;60;;;2340;Large;Skellefteälven
Faagelberget_4;L1939:6460/L1936:1445;7185576;790441;Byske;White;White;N9; ;Quartz;;Reference;;Yes;Granular;Massive;Waxy;None;None;Smooth;Yes;;30;48;;;1440;Medium;Skellefteälven
Faagelberget_5;L1939:6460/L1936:1445;7185576;790441;Byske;Pinkish white;White;N9; ;Quartz;;Reference;;Yes;Granular;Massive;Waxy;None;None;Smooth;No;Likely feldspar inclusion;29;42;;;1218;Medium;Skellefteälven
Knutsson ref 1;;;;;White;White;N9; ;Quartz;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;55;63;;;3465;Large;
Knutsson ref 2;;;;;White;White;N9; ;Quartz;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;38;64;;;2432;Large;
Knutsson ref 3;;;;;White;White;N9; ;Quartz;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;22;58;;;1276;Medium;
minerallåda A;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda B;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda C;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda F;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda H;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda I;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minerallåda J;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obsidian ref, klarare;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obsidian ref, mattare;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stantors_1;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;Reference;;Yes;Massive;Medium-grained;Bright vitreous;None;None;Fine;Yes;;34;30;;;1020;Medium;Rickleån
Stantors_2;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;Reference;;Yes;Massive;Medium-grained;Dull;None;None;Fine;Yes;;27;35;;;945;Medium;Rickleån
Stantors_3;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;Reference;;Yes;Massive;Medium-grained;Bright vitreous;None;None;Irregular;Yes;;43;65;;;2795;Large;Rickleån
